enterprise_id,gst_score,upi_score,aa_score,epfo_score,overall_score,risk_tier,confidence,actual_default
MSME100040,28.4,39.2,,,32.9,D - High Risk,2/4,0
MSME100041,80.0,,,,80.0,A - Strong,1/4,0
MSME100042,59.4,,47.7,57.0,54.4,C - Weak,3/4,0
MSME100043,60.2,66.3,69.5,,65.0,B - Moderate,3/4,0
MSME100044,62.7,,80.1,,70.7,B - Moderate,2/4,0
MSME100045,91.7,91.3,,,91.5,A - Strong,2/4,0
MSME100046,87.6,85.7,79.3,,84.3,A - Strong,3/4,0
MSME100047,,56.0,63.3,,60.0,B - Moderate,2/4,0
MSME100048,74.8,74.2,82.1,89.9,78.3,A - Strong,4/4,0
MSME100049,64.8,63.3,66.2,,64.9,B - Moderate,3/4,0
MSME100050,,57.2,43.2,,49.6,C - Weak,2/4,0
MSME100051,,61.1,,,61.1,B - Moderate,1/4,0
MSME100052,91.1,87.8,91.8,93.7,90.7,A - Strong,4/4,0
MSME100053,72.3,70.5,69.3,,70.8,B - Moderate,3/4,0
MSME100054,77.1,73.2,80.4,,77.1,A - Strong,3/4,0
MSME100055,42.8,,68.1,41.5,52.7,C - Weak,3/4,0
MSME100056,,81.2,70.6,,75.4,A - Strong,2/4,0
MSME100057,83.7,85.1,86.4,,85.0,A - Strong,3/4,0
MSME100058,,22.7,18.5,,20.4,D - High Risk,2/4,0
MSME100059,37.8,29.7,,45.6,36.0,C - Weak,3/4,1
MSME100060,68.2,77.5,72.9,69.1,72.0,B - Moderate,4/4,0
MSME100061,87.0,90.9,,,88.6,A - Strong,2/4,0
MSME100062,39.4,37.3,38.4,,38.5,C - Weak,3/4,0
MSME100063,77.8,71.0,71.3,76.4,74.0,B - Moderate,4/4,1
MSME100064,39.5,43.2,,,41.0,C - Weak,2/4,1
MSME100065,29.5,33.3,,22.3,29.8,D - High Risk,3/4,1
MSME100066,64.9,81.7,,,71.9,B - Moderate,2/4,0
MSME100067,25.4,43.2,,,32.8,D - High Risk,2/4,0
MSME100068,71.7,64.9,77.0,,71.6,B - Moderate,3/4,0
MSME100069,,56.8,65.5,,61.5,B - Moderate,2/4,0
MSME100070,44.7,46.2,53.4,,48.0,C - Weak,3/4,0
MSME100071,59.6,57.7,72.5,87.3,65.8,B - Moderate,4/4,0
MSME100072,42.6,,65.5,60.9,54.2,C - Weak,3/4,0
MSME100073,73.8,86.8,87.3,,81.9,A - Strong,3/4,0
MSME100074,,,46.8,37.3,44.4,C - Weak,2/4,0
MSME100075,48.0,55.6,43.0,,48.4,C - Weak,3/4,0
MSME100076,,44.3,40.6,39.5,41.9,C - Weak,3/4,0
MSME100077,23.5,,22.6,20.9,22.8,D - High Risk,3/4,1
MSME100078,,42.5,,29.7,38.8,C - Weak,2/4,0
MSME100079,84.1,86.6,,,85.1,A - Strong,2/4,0
MSME100080,64.7,59.6,48.0,,57.7,B - Moderate,3/4,0
MSME100081,47.7,56.6,,,51.4,C - Weak,2/4,0
MSME100082,76.4,77.8,,,77.0,A - Strong,2/4,0
MSME100083,,71.0,,,71.0,B - Moderate,1/4,0
MSME100084,,51.3,48.8,,49.9,C - Weak,2/4,0
MSME100085,,42.9,,,42.9,C - Weak,1/4,0
MSME100086,85.5,91.0,91.5,89.4,89.1,A - Strong,4/4,0
MSME100087,,25.3,,19.2,23.6,D - High Risk,2/4,0
MSME100088,,18.5,,,18.5,D - High Risk,1/4,1
MSME100089,,38.2,,,38.2,C - Weak,1/4,0
MSME100090,,68.7,,,68.7,B - Moderate,1/4,0
MSME100091,30.5,37.4,31.0,,32.6,D - High Risk,3/4,1
MSME100092,,,,,,Unscoreable,0/4,1
MSME100093,33.5,54.9,,,42.4,C - Weak,2/4,0
MSME100094,21.7,,17.1,19.8,19.6,D - High Risk,3/4,1
MSME100095,39.2,,,,39.2,C - Weak,1/4,0
MSME100096,61.0,81.4,,,69.5,B - Moderate,2/4,0
MSME100097,,62.6,36.8,45.9,48.1,C - Weak,3/4,0
MSME100098,,57.0,60.4,,58.9,B - Moderate,2/4,0
MSME100099,80.4,88.2,,88.1,84.3,A - Strong,3/4,0
MSME100100,83.2,90.6,82.3,79.2,84.4,A - Strong,4/4,0
MSME100101,82.0,,,,82.0,A - Strong,1/4,0
MSME100102,,31.8,42.6,57.4,40.7,C - Weak,3/4,0
MSME100103,74.4,64.3,,69.7,70.1,B - Moderate,3/4,0
MSME100104,,70.0,86.6,,79.1,A - Strong,2/4,0
MSME100105,53.3,,61.9,,57.3,B - Moderate,2/4,0
MSME100106,76.8,80.4,,,78.3,A - Strong,2/4,1
MSME100107,40.7,,36.9,,38.9,C - Weak,2/4,0
MSME100108,35.9,45.4,,,39.9,C - Weak,2/4,0
MSME100109,46.2,72.5,50.6,,55.0,B - Moderate,3/4,0
MSME100110,,26.0,,,26.0,D - High Risk,1/4,0
MSME100111,77.3,87.2,83.3,,82.1,A - Strong,3/4,1
MSME100112,,34.5,,,34.5,D - High Risk,1/4,1
MSME100113,,51.8,,,51.8,C - Weak,1/4,0
MSME100114,76.4,68.5,55.9,,67.4,B - Moderate,3/4,0
MSME100115,,27.2,35.1,,31.5,D - High Risk,2/4,0
MSME100116,38.6,,,,38.6,C - Weak,1/4,0
MSME100117,79.5,76.4,67.1,,74.5,B - Moderate,3/4,0
MSME100118,38.5,,,,38.5,C - Weak,1/4,0
MSME100119,67.6,,50.1,,59.5,B - Moderate,2/4,0
MSME100120,81.6,83.4,,72.0,80.9,A - Strong,3/4,0
MSME100121,,,36.9,48.9,39.9,C - Weak,2/4,0
MSME100122,,58.7,,,58.7,B - Moderate,1/4,0
MSME100123,82.7,86.2,90.5,,86.3,A - Strong,3/4,0
MSME100124,82.2,83.4,,91.1,83.9,A - Strong,3/4,0
MSME100125,,24.0,,,24.0,D - High Risk,1/4,0
MSME100126,79.5,79.4,,,79.5,A - Strong,2/4,0
MSME100127,,20.6,,,20.6,D - High Risk,1/4,1
MSME100128,74.2,82.9,,,77.8,A - Strong,2/4,0
MSME100129,43.3,46.0,,,44.4,C - Weak,2/4,1
MSME100130,,84.8,,,84.8,A - Strong,1/4,0
MSME100131,91.3,89.4,91.4,92.8,91.0,A - Strong,4/4,0
MSME100132,61.5,51.9,,59.9,57.8,B - Moderate,3/4,0
MSME100133,,22.4,21.6,,22.0,D - High Risk,2/4,0
MSME100134,,36.5,36.8,,36.7,C - Weak,2/4,0
MSME100135,,89.3,,,89.3,A - Strong,1/4,0
MSME100136,89.9,88.6,88.8,94.2,89.7,A - Strong,4/4,0
MSME100137,,45.1,,78.5,54.6,C - Weak,2/4,0
MSME100138,66.5,,77.0,74.9,71.8,B - Moderate,3/4,1
MSME100139,80.3,83.5,,,81.6,A - Strong,2/4,0
MSME100140,,65.6,,,65.6,B - Moderate,1/4,0
MSME100141,,32.3,,,32.3,D - High Risk,1/4,0
MSME100142,76.3,89.6,,68.3,79.9,A - Strong,3/4,0
MSME100143,32.6,25.7,,,29.7,D - High Risk,2/4,0
MSME100144,,20.6,26.3,,23.7,D - High Risk,2/4,0
MSME100145,,68.3,76.1,,72.6,B - Moderate,2/4,0
MSME100146,82.1,87.4,,,84.3,A - Strong,2/4,0
MSME100147,,27.4,,,27.4,D - High Risk,1/4,0
MSME100148,,37.0,55.1,,46.9,C - Weak,2/4,0
MSME100149,,67.5,65.0,90.2,69.8,B - Moderate,3/4,0
MSME100150,86.8,93.0,92.0,,90.3,A - Strong,3/4,0
MSME100151,69.7,,83.3,,76.0,A - Strong,2/4,0
MSME100152,53.5,62.2,69.0,,61.1,B - Moderate,3/4,0
MSME100153,85.4,80.9,88.3,,85.1,A - Strong,3/4,0
MSME100154,42.1,62.3,63.3,,54.8,C - Weak,3/4,0
MSME100155,64.1,,,62.6,63.8,B - Moderate,2/4,0
MSME100156,,56.3,54.5,,55.3,B - Moderate,2/4,0
MSME100157,29.2,34.9,,23.8,30.5,D - High Risk,3/4,0
MSME100158,61.8,71.1,59.8,,63.7,B - Moderate,3/4,0
MSME100159,62.5,70.4,75.7,,69.1,B - Moderate,3/4,0
MSME100160,,64.0,,,64.0,B - Moderate,1/4,0
MSME100161,84.1,79.7,76.3,,80.3,A - Strong,3/4,0
MSME100162,,53.1,,,53.1,C - Weak,1/4,0
MSME100163,,51.2,,69.6,56.5,B - Moderate,2/4,0
MSME100164,,56.3,,,56.3,B - Moderate,1/4,0
MSME100165,58.5,56.8,,60.7,58.2,B - Moderate,3/4,1
MSME100166,54.5,81.3,62.8,59.4,64.2,B - Moderate,4/4,0
MSME100167,83.5,82.3,90.5,,85.5,A - Strong,3/4,0
MSME100168,27.0,36.4,26.4,,29.4,D - High Risk,3/4,1
MSME100169,74.7,,,68.7,73.4,B - Moderate,2/4,0
MSME100170,,29.9,,,29.9,D - High Risk,1/4,1
MSME100171,,54.9,75.8,61.1,65.5,B - Moderate,3/4,0
MSME100172,87.4,83.0,,,85.6,A - Strong,2/4,0
MSME100173,87.8,92.8,87.9,93.7,89.7,A - Strong,4/4,0
MSME100174,,33.1,,,33.1,D - High Risk,1/4,0
MSME100175,,51.8,40.2,,45.5,C - Weak,2/4,0
MSME100176,40.8,47.6,,,43.6,C - Weak,2/4,1
MSME100177,66.9,64.2,56.8,62.9,62.8,B - Moderate,4/4,0
MSME100178,34.5,66.2,55.8,35.1,48.9,C - Weak,4/4,0
MSME100179,,44.9,,,44.9,C - Weak,1/4,0
MSME100180,69.3,86.3,81.0,,77.9,A - Strong,3/4,0
MSME100181,62.7,,75.6,57.5,67.2,B - Moderate,3/4,0
MSME100182,,40.5,45.2,,43.1,C - Weak,2/4,0
MSME100183,71.2,82.1,76.4,,76.0,A - Strong,3/4,0
MSME100184,47.3,,35.8,48.9,42.9,C - Weak,3/4,0
MSME100185,,55.8,,51.8,54.7,C - Weak,2/4,1
MSME100186,,66.0,64.8,,65.3,B - Moderate,2/4,0
MSME100187,,29.5,22.2,,25.5,D - High Risk,2/4,0
MSME100188,,,,,,Unscoreable,0/4,0
MSME100189,35.0,40.6,47.5,,40.7,C - Weak,3/4,0
MSME100190,50.3,,53.8,,51.9,C - Weak,2/4,1
MSME100191,61.7,55.4,,,59.1,B - Moderate,2/4,0
MSME100192,21.6,22.0,40.5,,28.0,D - High Risk,3/4,1
MSME100193,86.0,92.5,79.3,82.4,85.3,A - Strong,4/4,0
MSME100194,45.1,,,,45.1,C - Weak,1/4,0
MSME100195,87.1,80.6,,,84.4,A - Strong,2/4,0
MSME100196,41.1,59.3,,,48.7,C - Weak,2/4,0
MSME100197,67.5,78.5,73.2,57.6,71.0,B - Moderate,4/4,0
MSME100198,,51.1,70.4,,61.6,B - Moderate,2/4,0
MSME100199,,37.8,,,37.8,C - Weak,1/4,0
MSME100200,52.2,55.0,,,53.4,C - Weak,2/4,0
MSME100201,,,50.2,57.8,52.1,C - Weak,2/4,0
MSME100202,58.2,59.8,76.0,,64.6,B - Moderate,3/4,0
MSME100203,,,,,,Unscoreable,0/4,0
MSME100204,60.4,70.6,,,64.6,B - Moderate,2/4,0
MSME100205,82.2,72.1,,,78.0,A - Strong,2/4,0
MSME100206,47.7,65.9,,,55.3,B - Moderate,2/4,0
MSME100207,36.0,,,,36.0,C - Weak,1/4,0
MSME100208,61.8,73.9,,,66.8,B - Moderate,2/4,0
MSME100209,52.6,79.4,,,63.8,B - Moderate,2/4,0
MSME100210,22.8,,,,22.8,D - High Risk,1/4,1
MSME100211,87.7,87.0,,68.6,84.7,A - Strong,3/4,0
MSME100212,,53.5,,81.4,61.5,B - Moderate,2/4,0
MSME100213,,73.7,82.1,,78.3,A - Strong,2/4,0
MSME100214,51.4,65.6,,,57.3,B - Moderate,2/4,0
MSME100215,91.7,93.6,,92.9,92.6,A - Strong,3/4,0
MSME100216,44.7,39.4,,,42.5,C - Weak,2/4,0
MSME100217,46.6,52.2,33.2,,43.7,C - Weak,3/4,0
MSME100218,,49.1,,39.5,46.4,C - Weak,2/4,0
MSME100219,74.1,79.5,,,76.3,A - Strong,2/4,0
MSME100220,,37.3,,,37.3,C - Weak,1/4,1
MSME100221,57.4,70.1,67.4,,64.3,B - Moderate,3/4,0
MSME100222,,44.1,60.5,48.3,52.3,C - Weak,3/4,0
MSME100223,,,73.5,86.3,76.7,A - Strong,2/4,1
MSME100224,36.5,51.3,,,42.7,C - Weak,2/4,0
MSME100225,54.0,,,50.1,53.1,C - Weak,2/4,0
MSME100226,86.4,93.7,,88.4,89.3,A - Strong,3/4,0
MSME100227,72.7,87.2,,,78.7,A - Strong,2/4,0
MSME100228,67.0,,,71.9,68.1,B - Moderate,2/4,0
MSME100229,51.4,50.2,67.1,,56.3,B - Moderate,3/4,0
MSME100230,,66.2,90.7,,79.6,A - Strong,2/4,0
MSME100231,,,42.7,,42.7,C - Weak,1/4,0
MSME100232,88.2,,88.1,,88.2,A - Strong,2/4,0
MSME100233,70.8,66.8,46.6,,61.6,B - Moderate,3/4,0
MSME100234,,59.5,82.5,80.1,73.3,B - Moderate,3/4,0
MSME100235,84.3,81.7,76.4,,80.9,A - Strong,3/4,0
MSME100236,54.8,47.3,,,51.7,C - Weak,2/4,0
MSME100237,,75.9,,66.9,73.3,B - Moderate,2/4,0
MSME100238,,55.0,,,55.0,B - Moderate,1/4,1
MSME100239,,50.4,,,50.4,C - Weak,1/4,0
MSME100240,88.1,,90.7,91.1,89.5,A - Strong,3/4,0
MSME100241,,26.1,,37.5,29.4,D - High Risk,2/4,0
MSME100242,,24.4,,,24.4,D - High Risk,1/4,1
MSME100243,75.7,78.4,,,76.8,A - Strong,2/4,0
MSME100244,,27.9,33.3,,30.8,D - High Risk,2/4,0
MSME100245,63.5,,,,63.5,B - Moderate,1/4,0
MSME100246,,75.7,54.2,,64.0,B - Moderate,2/4,0
MSME100247,38.6,46.6,66.3,,50.1,C - Weak,3/4,0
MSME100248,,48.7,,,48.7,C - Weak,1/4,0
MSME100249,,60.6,,,60.6,B - Moderate,1/4,0
MSME100250,22.4,,,,22.4,D - High Risk,1/4,1
MSME100251,,74.6,47.8,,60.0,B - Moderate,2/4,0
MSME100252,29.2,,,,29.2,D - High Risk,1/4,0
MSME100253,45.4,49.9,,,47.3,C - Weak,2/4,0
MSME100254,87.0,82.9,78.0,,82.9,A - Strong,3/4,0
MSME100255,71.8,,,76.5,72.8,B - Moderate,2/4,0
MSME100256,69.8,66.9,,,68.6,B - Moderate,2/4,0
MSME100257,29.1,32.4,,29.4,30.3,D - High Risk,3/4,1
MSME100258,,54.7,,,54.7,C - Weak,1/4,1
MSME100259,,42.2,37.6,52.2,41.6,C - Weak,3/4,0
MSME100260,,24.1,,19.4,22.8,D - High Risk,2/4,0
MSME100261,87.1,,89.9,,88.4,A - Strong,2/4,0
MSME100262,,31.3,52.3,,42.8,C - Weak,2/4,0
MSME100263,,26.1,31.1,,28.8,D - High Risk,2/4,1
MSME100264,,30.2,40.5,,35.8,C - Weak,2/4,1
MSME100265,,33.9,,,33.9,D - High Risk,1/4,0
MSME100266,86.2,82.1,,92.8,85.7,A - Strong,3/4,0
MSME100267,78.5,91.4,,74.5,82.5,A - Strong,3/4,0
MSME100268,37.2,33.2,40.2,,37.1,C - Weak,3/4,0
MSME100269,,33.5,,,33.5,D - High Risk,1/4,0
MSME100270,40.4,46.7,,,43.0,C - Weak,2/4,1
MSME100271,,57.2,,,57.2,B - Moderate,1/4,0
MSME100272,,39.8,46.6,,43.5,C - Weak,2/4,0
MSME100273,33.7,31.4,32.1,,32.5,D - High Risk,3/4,0
MSME100274,43.0,,69.5,,55.2,B - Moderate,2/4,0
MSME100275,66.2,80.6,,,72.2,B - Moderate,2/4,0
MSME100276,79.3,80.2,,,79.7,A - Strong,2/4,0
MSME100277,,80.1,73.2,,76.3,A - Strong,2/4,0
MSME100278,,62.3,63.7,,63.1,B - Moderate,2/4,0
MSME100279,72.9,,88.5,,80.1,A - Strong,2/4,0
MSME100280,,43.1,54.3,,49.2,C - Weak,2/4,1
MSME100281,52.6,57.5,51.6,72.1,55.5,B - Moderate,4/4,0
MSME100282,88.1,89.2,88.1,,88.4,A - Strong,3/4,0
MSME100283,38.9,44.0,37.7,,39.9,C - Weak,3/4,0
MSME100284,21.2,25.7,,,23.1,D - High Risk,2/4,0
MSME100285,35.6,34.3,,,35.1,C - Weak,2/4,1
MSME100286,47.3,47.4,53.3,,49.3,C - Weak,3/4,0
MSME100287,,34.7,,19.9,30.5,D - High Risk,2/4,1
MSME100288,,44.8,45.6,64.1,48.1,C - Weak,3/4,0
MSME100289,,84.3,79.7,,81.8,A - Strong,2/4,0
MSME100290,69.6,82.4,81.1,94.1,78.7,A - Strong,4/4,0
MSME100291,,29.7,,,29.7,D - High Risk,1/4,0
MSME100292,76.2,86.8,,86.2,81.4,A - Strong,3/4,0
MSME100293,,67.8,,,67.8,B - Moderate,1/4,0
MSME100294,49.2,,,50.7,49.5,C - Weak,2/4,0
MSME100295,31.7,38.2,,36.9,34.8,D - High Risk,3/4,0
MSME100296,42.7,,74.5,73.2,59.5,B - Moderate,3/4,0
MSME100297,71.8,,,69.6,71.3,B - Moderate,2/4,0
MSME100298,85.3,89.8,77.3,64.8,82.0,A - Strong,4/4,0
MSME100299,,85.6,84.4,88.3,85.5,A - Strong,3/4,0
MSME100300,,,77.5,,77.5,A - Strong,1/4,1
MSME100301,88.3,92.8,,,90.2,A - Strong,2/4,0
MSME100302,42.5,64.8,,,51.8,C - Weak,2/4,0
MSME100303,50.8,39.2,41.2,,44.4,C - Weak,3/4,0
MSME100304,48.2,80.2,61.0,,61.4,B - Moderate,3/4,0
MSME100305,17.7,23.1,27.3,,22.4,D - High Risk,3/4,0
MSME100306,,84.5,67.3,,75.1,A - Strong,2/4,0
MSME100307,47.0,67.2,44.3,,51.7,C - Weak,3/4,0
MSME100308,,21.1,,16.9,19.9,D - High Risk,2/4,1
MSME100309,,60.9,59.2,,60.0,B - Moderate,2/4,0
MSME100310,,62.3,58.0,,60.0,B - Moderate,2/4,0
MSME100311,54.3,68.7,,,60.3,B - Moderate,2/4,0
MSME100312,,34.0,,,34.0,D - High Risk,1/4,0
MSME100313,,46.5,41.3,46.4,44.1,C - Weak,3/4,0
MSME100314,71.5,74.1,,,72.6,B - Moderate,2/4,0
MSME100315,71.0,,84.3,,77.1,A - Strong,2/4,0
MSME100316,,43.1,,,43.1,C - Weak,1/4,0
MSME100317,49.4,66.7,,50.2,55.7,B - Moderate,3/4,0
MSME100318,35.2,47.6,,,40.4,C - Weak,2/4,0
MSME100319,87.8,87.3,,91.8,88.2,A - Strong,3/4,0
MSME100320,,,59.3,48.2,56.5,B - Moderate,2/4,0
MSME100321,,40.6,32.6,,36.2,C - Weak,2/4,0
MSME100322,35.1,36.9,,,35.9,C - Weak,2/4,1
MSME100323,84.7,81.4,74.0,,80.2,A - Strong,3/4,0
MSME100324,26.0,,23.3,,24.8,D - High Risk,2/4,0
MSME100325,84.4,79.2,,91.5,83.6,A - Strong,3/4,0
MSME100326,28.1,28.2,33.7,,30.0,D - High Risk,3/4,1
MSME100327,52.7,42.7,,,48.5,C - Weak,2/4,0
MSME100328,60.3,,70.7,,65.1,B - Moderate,2/4,0
MSME100329,,38.4,48.1,,43.7,C - Weak,2/4,1
MSME100330,82.9,84.4,,92.0,84.7,A - Strong,3/4,0
MSME100331,,,,64.4,64.4,B - Moderate,1/4,0
MSME100332,,36.8,,35.7,36.5,C - Weak,2/4,1
MSME100333,47.9,64.5,45.9,,51.8,C - Weak,3/4,0
MSME100334,,77.4,,,77.4,A - Strong,1/4,0
MSME100335,,48.4,,,48.4,C - Weak,1/4,0
MSME100336,47.7,57.1,,59.5,52.7,C - Weak,3/4,0
MSME100337,85.4,81.2,,89.3,84.5,A - Strong,3/4,0
MSME100338,,38.9,,,38.9,C - Weak,1/4,0
MSME100339,79.5,80.7,82.3,67.5,79.4,A - Strong,4/4,0
MSME100340,,32.4,,,32.4,D - High Risk,1/4,1
MSME100341,,35.9,40.2,70.5,43.2,C - Weak,3/4,1
MSME100342,,46.3,33.7,31.3,38.2,C - Weak,3/4,0
MSME100343,,46.9,37.9,,42.0,C - Weak,2/4,0
MSME100344,65.7,,74.7,76.9,70.8,B - Moderate,3/4,0
MSME100345,47.3,59.3,,,52.3,C - Weak,2/4,0
MSME100346,67.7,54.7,57.1,66.7,61.2,B - Moderate,4/4,0
MSME100347,,32.7,,,32.7,D - High Risk,1/4,1
MSME100348,,60.7,59.4,,60.0,B - Moderate,2/4,1
MSME100349,23.1,36.7,,,28.8,D - High Risk,2/4,1
MSME100350,,57.0,,,57.0,B - Moderate,1/4,0
MSME100351,,57.6,,,57.6,B - Moderate,1/4,0
MSME100352,,61.4,,,61.4,B - Moderate,1/4,1
MSME100353,,,49.2,,49.2,C - Weak,1/4,1
MSME100354,80.4,83.7,82.0,,81.9,A - Strong,3/4,0
MSME100355,87.2,90.5,,,88.6,A - Strong,2/4,0
MSME100356,44.3,55.5,43.1,47.3,47.0,C - Weak,4/4,0
MSME100357,59.4,48.3,58.6,,56.1,B - Moderate,3/4,0
MSME100358,44.0,37.3,,,41.2,C - Weak,2/4,0
MSME100359,,61.4,70.1,,66.1,B - Moderate,2/4,0
MSME100360,35.0,59.4,,,45.2,C - Weak,2/4,0
MSME100361,73.8,88.3,64.8,,74.8,B - Moderate,3/4,1
MSME100362,20.5,,,,20.5,D - High Risk,1/4,0
MSME100363,72.0,75.1,70.8,,72.5,B - Moderate,3/4,0
MSME100364,,81.7,64.9,61.6,70.9,B - Moderate,3/4,0
MSME100365,35.5,51.3,,,42.1,C - Weak,2/4,0
MSME100366,,63.2,82.2,89.8,76.1,A - Strong,3/4,0
MSME100367,,,,51.0,51.0,C - Weak,1/4,0
MSME100368,,46.2,33.2,,39.1,C - Weak,2/4,0
MSME100369,,24.4,,,24.4,D - High Risk,1/4,1
MSME100370,33.9,,31.6,,32.8,D - High Risk,2/4,0
MSME100371,,22.4,,,22.4,D - High Risk,1/4,1
MSME100372,,52.3,71.0,,62.5,B - Moderate,2/4,0
MSME100373,48.4,61.6,,,53.9,C - Weak,2/4,0
MSME100374,,65.5,59.0,,62.0,B - Moderate,2/4,0
MSME100375,70.4,72.5,,,71.3,B - Moderate,2/4,0
MSME100376,58.3,,61.8,60.5,60.0,B - Moderate,3/4,0
MSME100377,,29.3,29.9,,29.6,D - High Risk,2/4,1
MSME100378,,53.5,49.7,,51.4,C - Weak,2/4,0
MSME100379,,63.1,,46.4,58.3,B - Moderate,2/4,0
MSME100380,,41.3,,,41.3,C - Weak,1/4,0
MSME100381,88.5,92.3,91.2,91.2,90.5,A - Strong,4/4,0
MSME100382,50.5,57.9,68.2,,58.5,B - Moderate,3/4,0
MSME100383,,81.4,,,81.4,A - Strong,1/4,0
MSME100384,,26.4,,,26.4,D - High Risk,1/4,0
MSME100385,86.9,89.1,,90.1,88.1,A - Strong,3/4,0
MSME100386,,84.9,,,84.9,A - Strong,1/4,0
MSME100387,89.2,89.6,82.5,91.4,87.5,A - Strong,4/4,0
MSME100388,24.8,21.7,24.6,,23.9,D - High Risk,3/4,0
MSME100389,79.3,78.3,80.6,,79.5,A - Strong,3/4,0
MSME100390,60.1,63.8,75.5,63.4,66.0,B - Moderate,4/4,0
MSME100391,68.9,72.7,86.0,,75.7,A - Strong,3/4,0
MSME100392,86.5,89.3,87.0,,87.4,A - Strong,3/4,0
MSME100393,,,41.5,35.1,39.9,C - Weak,2/4,0
MSME100394,49.6,72.5,,,59.1,B - Moderate,2/4,0
MSME100395,,76.1,86.1,,81.6,A - Strong,2/4,0
MSME100396,,85.4,77.6,,81.1,A - Strong,2/4,0
MSME100397,39.2,33.0,33.5,,35.6,C - Weak,3/4,0
MSME100398,,31.2,,,31.2,D - High Risk,1/4,1
MSME100399,,29.1,,25.6,28.1,D - High Risk,2/4,0
MSME100400,39.3,30.8,,,35.8,C - Weak,2/4,0
MSME100401,,86.2,84.0,,85.0,A - Strong,2/4,0
MSME100402,84.9,,91.2,82.1,87.0,A - Strong,3/4,0
MSME100403,,57.5,60.6,,59.2,B - Moderate,2/4,0
MSME100404,37.3,,,44.8,39.0,C - Weak,2/4,0
MSME100405,66.4,,,,66.4,B - Moderate,1/4,0
MSME100406,64.5,65.2,,,64.8,B - Moderate,2/4,0
MSME100407,30.3,,,17.9,27.5,D - High Risk,2/4,0
MSME100408,60.4,62.6,68.0,,63.5,B - Moderate,3/4,0
MSME100409,,,58.1,,58.1,B - Moderate,1/4,0
MSME100410,,59.7,87.2,,74.7,B - Moderate,2/4,0
MSME100411,,,64.6,58.5,63.1,B - Moderate,2/4,0
MSME100412,63.3,69.1,,,65.7,B - Moderate,2/4,0
MSME100413,51.9,,35.8,,44.5,C - Weak,2/4,0
MSME100414,86.8,91.2,84.6,,87.3,A - Strong,3/4,0
MSME100415,,80.5,53.3,,65.7,B - Moderate,2/4,0
MSME100416,58.5,48.6,48.5,,52.4,C - Weak,3/4,0
MSME100417,,28.9,,31.9,29.8,D - High Risk,2/4,0
MSME100418,,35.0,,,35.0,C - Weak,1/4,1
