enterprise_id,gst_score,upi_score,aa_score,epfo_score,overall_score,risk_tier,confidence,actual_default
MSME100083,,71.8,,,71.8,B - Moderate,1/4,0
MSME100084,,51.4,47.8,,49.4,C - Weak,2/4,0
MSME100085,,41.5,,,41.5,C - Weak,1/4,0
MSME100086,84.3,92.2,91.6,88.9,88.9,A - Strong,4/4,0
MSME100087,,24.0,,18.8,22.5,D - High Risk,2/4,0
MSME100088,,17.9,,,17.9,D - High Risk,1/4,1
MSME100089,,38.3,,,38.3,C - Weak,1/4,0
MSME100090,,71.2,,,71.2,B - Moderate,1/4,0
MSME100091,31.6,37.2,31.6,,33.2,D - High Risk,3/4,1
MSME100092,,,,,,Unscoreable,0/4,1
MSME100093,33.5,58.4,,,43.9,C - Weak,2/4,0
MSME100094,23.1,,18.0,21.1,20.8,D - High Risk,3/4,1
MSME100095,38.5,,,,38.5,C - Weak,1/4,0
MSME100096,59.9,82.2,,,69.2,B - Moderate,2/4,0
MSME100097,,61.7,37.0,48.3,48.2,C - Weak,3/4,0
MSME100098,,56.8,57.7,,57.3,B - Moderate,2/4,0
MSME100099,81.7,88.8,,88.2,85.2,A - Strong,3/4,0
MSME100100,83.3,91.0,83.7,79.2,84.9,A - Strong,4/4,0
MSME100101,81.4,,,,81.4,A - Strong,1/4,0
MSME100102,,31.0,41.3,59.1,40.1,C - Weak,3/4,0
MSME100103,74.6,65.3,,72.7,71.0,B - Moderate,3/4,0
MSME100104,,70.9,84.8,,78.5,A - Strong,2/4,0
MSME100105,53.1,,61.3,,56.9,B - Moderate,2/4,0
MSME100106,77.4,79.9,,,78.4,A - Strong,2/4,1
MSME100107,40.7,,34.3,,37.7,C - Weak,2/4,0
MSME100108,36.6,44.9,,,40.1,C - Weak,2/4,0
MSME100109,47.9,69.6,49.7,,54.5,C - Weak,3/4,0
MSME100110,,25.6,,,25.6,D - High Risk,1/4,0
MSME100111,77.4,88.4,85.0,,83.0,A - Strong,3/4,1
MSME100112,,34.5,,,34.5,D - High Risk,1/4,1
MSME100113,,53.2,,,53.2,C - Weak,1/4,0
MSME100114,74.6,69.1,54.2,,66.3,B - Moderate,3/4,0
MSME100115,,27.4,33.4,,30.7,D - High Risk,2/4,0
MSME100116,37.0,,,,37.0,C - Weak,1/4,0
MSME100117,80.0,74.1,66.4,,73.8,B - Moderate,3/4,0
MSME100118,38.6,,,,38.6,C - Weak,1/4,0
MSME100119,67.8,,49.9,,59.5,B - Moderate,2/4,0
MSME100120,81.7,83.3,,71.0,80.7,A - Strong,3/4,0
MSME100121,,,36.1,47.1,38.8,C - Weak,2/4,0
MSME100122,,58.6,,,58.6,B - Moderate,1/4,0
MSME100123,81.6,86.6,90.0,,85.8,A - Strong,3/4,0
MSME100124,80.3,84.8,,91.7,83.5,A - Strong,3/4,0
MSME100125,,23.5,,,23.5,D - High Risk,1/4,0
MSME100126,79.0,79.4,,,79.2,A - Strong,2/4,0
MSME100127,,20.6,,,20.6,D - High Risk,1/4,1
MSME100128,74.9,83.3,,,78.4,A - Strong,2/4,0
MSME100129,38.7,46.4,,,41.9,C - Weak,2/4,1
MSME100130,,84.4,,,84.4,A - Strong,1/4,0
MSME100131,91.4,89.1,91.0,93.0,90.9,A - Strong,4/4,0
MSME100132,60.5,55.3,,60.2,58.6,B - Moderate,3/4,0
MSME100133,,22.0,21.9,,21.9,D - High Risk,2/4,0
MSME100134,,35.2,36.8,,36.1,C - Weak,2/4,0
MSME100135,,89.7,,,89.7,A - Strong,1/4,0
MSME100136,90.8,87.8,90.1,93.8,90.1,A - Strong,4/4,0
MSME100137,,46.6,,78.4,55.7,B - Moderate,2/4,0
MSME100138,66.4,,79.1,75.8,72.7,B - Moderate,3/4,1
MSME100139,81.0,82.6,,,81.7,A - Strong,2/4,0
MSME100140,,66.3,,,66.3,B - Moderate,1/4,0
MSME100141,,32.1,,,32.1,D - High Risk,1/4,0
MSME100142,75.6,89.1,,67.3,79.2,A - Strong,3/4,0
MSME100143,31.9,27.0,,,29.9,D - High Risk,2/4,0
MSME100144,,20.9,26.6,,24.0,D - High Risk,2/4,0
MSME100145,,69.1,76.0,,72.9,B - Moderate,2/4,0
MSME100146,81.4,87.8,,,84.1,A - Strong,2/4,0
MSME100147,,27.0,,,27.0,D - High Risk,1/4,0
MSME100148,,36.2,55.5,,46.7,C - Weak,2/4,0
MSME100149,,67.8,67.5,90.4,71.1,B - Moderate,3/4,0
MSME100150,87.9,93.7,92.1,,90.9,A - Strong,3/4,0
MSME100151,68.6,,85.3,,76.3,A - Strong,2/4,0
MSME100152,55.9,60.4,67.1,,60.9,B - Moderate,3/4,0
MSME100153,83.9,79.5,86.4,,83.5,A - Strong,3/4,0
MSME100154,42.7,60.1,62.0,,54.0,C - Weak,3/4,0
MSME100155,63.7,,,63.2,63.6,B - Moderate,2/4,0
MSME100156,,55.1,52.9,,53.9,C - Weak,2/4,0
MSME100157,27.4,35.2,,24.0,29.7,D - High Risk,3/4,0
MSME100158,63.1,73.3,58.3,,64.3,B - Moderate,3/4,0
MSME100159,62.2,68.1,75.5,,68.3,B - Moderate,3/4,0
MSME100160,,64.6,,,64.6,B - Moderate,1/4,0
MSME100161,83.4,81.3,78.5,,81.2,A - Strong,3/4,0
MSME100162,,54.7,,,54.7,C - Weak,1/4,0
MSME100163,,51.5,,69.3,56.6,B - Moderate,2/4,0
MSME100164,,55.1,,,55.1,B - Moderate,1/4,0
MSME100165,58.6,58.0,,59.8,58.6,B - Moderate,3/4,1
MSME100166,55.0,82.5,63.3,60.7,64.9,B - Moderate,4/4,0
MSME100167,84.4,81.8,90.0,,85.5,A - Strong,3/4,0
MSME100168,28.0,37.2,26.9,,30.2,D - High Risk,3/4,1
MSME100169,74.0,,,69.1,72.9,B - Moderate,2/4,0
MSME100170,,29.1,,,29.1,D - High Risk,1/4,1
MSME100171,,56.4,74.4,62.6,65.7,B - Moderate,3/4,0
MSME100172,87.2,82.6,,,85.3,A - Strong,2/4,0
MSME100173,87.6,93.2,88.7,93.2,89.9,A - Strong,4/4,0
MSME100174,,32.6,,,32.6,D - High Risk,1/4,0
MSME100175,,51.8,40.4,,45.6,C - Weak,2/4,0
MSME100176,41.3,47.1,,,43.7,C - Weak,2/4,1
MSME100177,67.5,63.4,53.8,65.5,62.2,B - Moderate,4/4,0
MSME100178,35.1,63.8,57.6,34.3,48.9,C - Weak,4/4,0
MSME100179,,42.7,,,42.7,C - Weak,1/4,0
MSME100180,69.2,87.8,81.3,,78.4,A - Strong,3/4,0
MSME100181,62.8,,76.3,57.1,67.4,B - Moderate,3/4,0
MSME100182,,40.5,43.8,,42.3,C - Weak,2/4,0
MSME100183,72.0,82.0,76.9,,76.4,A - Strong,3/4,0
MSME100184,46.0,,33.7,48.6,41.4,C - Weak,3/4,0
MSME100185,,57.2,,50.4,55.3,B - Moderate,2/4,1
MSME100186,,67.7,66.1,,66.8,B - Moderate,2/4,0
MSME100187,,28.4,23.0,,25.5,D - High Risk,2/4,0
MSME100188,,,,,,Unscoreable,0/4,0
MSME100189,35.5,39.5,46.9,,40.4,C - Weak,3/4,0
MSME100190,51.6,,53.3,,52.4,C - Weak,2/4,1
MSME100191,62.5,56.1,,,59.8,B - Moderate,2/4,0
MSME100192,22.3,21.7,40.2,,28.1,D - High Risk,3/4,1
MSME100193,85.7,93.0,81.3,81.6,85.8,A - Strong,4/4,0
MSME100194,44.5,,,,44.5,C - Weak,1/4,0
MSME100195,87.3,81.5,,,84.9,A - Strong,2/4,0
MSME100196,40.5,56.1,,,47.0,C - Weak,2/4,0
MSME100197,68.3,78.5,73.1,57.6,71.2,B - Moderate,4/4,0
MSME100198,,50.1,70.0,,61.0,B - Moderate,2/4,0
MSME100199,,38.1,,,38.1,C - Weak,1/4,0
MSME100200,51.0,53.4,,,52.0,C - Weak,2/4,0
MSME100201,,,47.9,56.2,50.0,C - Weak,2/4,0
MSME100202,57.9,59.1,78.0,,64.9,B - Moderate,3/4,0
MSME100203,,,,,,Unscoreable,0/4,0
MSME100204,60.4,68.7,,,63.9,B - Moderate,2/4,0
MSME100205,80.9,72.7,,,77.5,A - Strong,2/4,0
MSME100206,46.3,67.9,,,55.3,B - Moderate,2/4,0
MSME100207,35.7,,,,35.7,C - Weak,1/4,0
MSME100208,61.6,73.0,,,66.3,B - Moderate,2/4,0
MSME100209,53.8,81.2,,,65.2,B - Moderate,2/4,0
MSME100210,22.1,,,,22.1,D - High Risk,1/4,1
MSME100211,87.7,86.6,,69.1,84.7,A - Strong,3/4,0
MSME100212,,54.3,,81.3,62.0,B - Moderate,2/4,0
MSME100213,,75.5,82.1,,79.1,A - Strong,2/4,0
MSME100214,52.1,66.7,,,58.2,B - Moderate,2/4,0
MSME100215,92.0,93.3,,93.2,92.6,A - Strong,3/4,0
MSME100216,44.2,43.6,,,44.0,C - Weak,2/4,0
MSME100217,47.0,52.0,33.8,,44.0,C - Weak,3/4,0
MSME100218,,50.5,,40.5,47.6,C - Weak,2/4,0
MSME100219,74.8,80.4,,,77.1,A - Strong,2/4,0
MSME100220,,36.3,,,36.3,C - Weak,1/4,1
MSME100221,56.2,71.8,66.4,,63.9,B - Moderate,3/4,0
MSME100222,,43.7,59.7,49.1,51.9,C - Weak,3/4,0
MSME100223,,,72.4,85.8,75.8,A - Strong,2/4,1
MSME100224,34.0,47.8,,,39.8,C - Weak,2/4,0
MSME100225,52.4,,,49.2,51.7,C - Weak,2/4,0
MSME100226,86.2,93.7,,88.3,89.2,A - Strong,3/4,0
MSME100227,73.7,88.7,,,80.0,A - Strong,2/4,0
MSME100228,65.7,,,71.1,66.9,B - Moderate,2/4,0
MSME100229,52.4,52.1,66.7,,57.1,B - Moderate,3/4,0
MSME100230,,66.2,90.6,,79.5,A - Strong,2/4,0
MSME100231,,,42.7,,42.7,C - Weak,1/4,0
MSME100232,88.2,,87.4,,87.8,A - Strong,2/4,0
MSME100233,71.0,61.3,48.1,,60.7,B - Moderate,3/4,0
MSME100234,,59.9,84.2,78.3,73.9,B - Moderate,3/4,0
MSME100235,84.1,79.9,78.7,,81.1,A - Strong,3/4,0
MSME100236,55.6,45.9,,,51.6,C - Weak,2/4,0
MSME100237,,75.4,,66.0,72.7,B - Moderate,2/4,0
MSME100238,,52.5,,,52.5,C - Weak,1/4,1
MSME100239,,49.6,,,49.6,C - Weak,1/4,0
MSME100240,87.5,,89.8,91.6,89.0,A - Strong,3/4,0
MSME100241,,26.6,,37.8,29.8,D - High Risk,2/4,0
MSME100242,,22.0,,,22.0,D - High Risk,1/4,1
MSME100243,76.2,76.8,,,76.4,A - Strong,2/4,0
MSME100244,,25.9,34.4,,30.5,D - High Risk,2/4,0
MSME100245,64.3,,,,64.3,B - Moderate,1/4,0
MSME100246,,73.5,53.2,,62.4,B - Moderate,2/4,0
MSME100247,38.6,44.7,64.4,,48.9,C - Weak,3/4,0
MSME100248,,48.7,,,48.7,C - Weak,1/4,0
MSME100249,,56.2,,,56.2,B - Moderate,1/4,0
MSME100250,22.3,,,,22.3,D - High Risk,1/4,1
MSME100251,,73.5,46.6,,58.8,B - Moderate,2/4,0
MSME100252,29.2,,,,29.2,D - High Risk,1/4,0
MSME100253,47.5,49.5,,,48.3,C - Weak,2/4,0
MSME100254,87.3,84.3,76.9,,83.0,A - Strong,3/4,0
MSME100255,71.3,,,76.5,72.5,B - Moderate,2/4,0
MSME100256,71.5,68.2,,,70.1,B - Moderate,2/4,0
MSME100257,29.2,33.2,,30.0,30.7,D - High Risk,3/4,1
MSME100258,,57.0,,,57.0,B - Moderate,1/4,1
MSME100259,,39.2,37.7,53.6,40.7,C - Weak,3/4,0
MSME100260,,23.9,,19.1,22.5,D - High Risk,2/4,0
MSME100261,87.3,,89.7,,88.4,A - Strong,2/4,0
MSME100262,,31.7,52.0,,42.8,C - Weak,2/4,0
MSME100263,,25.6,30.5,,28.3,D - High Risk,2/4,1
MSME100264,,30.1,40.2,,35.6,C - Weak,2/4,1
MSME100265,,33.9,,,33.9,D - High Risk,1/4,0
MSME100266,86.4,80.7,,92.9,85.3,A - Strong,3/4,0
MSME100267,78.7,92.1,,73.5,82.7,A - Strong,3/4,0
MSME100268,38.3,31.7,40.0,,37.0,C - Weak,3/4,0
MSME100269,,33.2,,,33.2,D - High Risk,1/4,0
MSME100270,42.7,50.3,,,45.9,C - Weak,2/4,1
MSME100271,,58.5,,,58.5,B - Moderate,1/4,0
MSME100272,,40.6,44.7,,42.8,C - Weak,2/4,0
MSME100273,33.8,32.1,32.6,,32.9,D - High Risk,3/4,0
MSME100274,43.8,,69.4,,55.6,B - Moderate,2/4,0
MSME100275,67.5,80.0,,,72.7,B - Moderate,2/4,0
MSME100276,79.3,80.6,,,79.8,A - Strong,2/4,0
MSME100277,,80.0,74.0,,76.7,A - Strong,2/4,0
MSME100278,,63.2,63.1,,63.1,B - Moderate,2/4,0
MSME100279,73.1,,89.2,,80.5,A - Strong,2/4,0
MSME100280,,42.7,54.4,,49.1,C - Weak,2/4,1
MSME100281,51.0,56.8,51.3,69.6,54.4,C - Weak,4/4,0
MSME100282,87.7,90.8,88.4,,88.8,A - Strong,3/4,0
MSME100283,36.7,44.8,36.4,,38.9,C - Weak,3/4,0
MSME100284,21.7,26.0,,,23.5,D - High Risk,2/4,0
MSME100285,35.4,35.8,,,35.6,C - Weak,2/4,1
MSME100286,46.1,50.8,52.8,,49.6,C - Weak,3/4,0
MSME100287,,33.2,,19.5,29.3,D - High Risk,2/4,1
MSME100288,,44.8,46.1,64.5,48.4,C - Weak,3/4,0
MSME100289,,83.5,79.1,,81.1,A - Strong,2/4,0
MSME100290,69.9,81.7,81.4,93.9,78.7,A - Strong,4/4,0
MSME100291,,29.7,,,29.7,D - High Risk,1/4,0
MSME100292,75.8,86.6,,85.9,81.1,A - Strong,3/4,0
MSME100293,,70.0,,,70.0,B - Moderate,1/4,0
MSME100294,49.1,,,52.8,49.9,C - Weak,2/4,0
MSME100295,31.7,36.3,,36.9,34.1,D - High Risk,3/4,0
MSME100296,43.7,,68.3,70.4,57.1,B - Moderate,3/4,0
MSME100297,70.1,,,67.4,69.5,B - Moderate,2/4,0
MSME100298,86.2,90.9,74.1,64.3,81.6,A - Strong,4/4,0
MSME100299,,84.7,84.8,89.6,85.5,A - Strong,3/4,0
MSME100300,,,77.1,,77.1,A - Strong,1/4,1
MSME100301,89.0,92.3,,,90.4,A - Strong,2/4,0
MSME100302,42.6,66.1,,,52.4,C - Weak,2/4,0
MSME100303,49.6,40.3,40.4,,44.0,C - Weak,3/4,0
MSME100304,48.2,79.1,61.2,,61.1,B - Moderate,3/4,0
MSME100305,18.7,21.8,26.9,,22.3,D - High Risk,3/4,0
MSME100306,,85.3,67.6,,75.6,A - Strong,2/4,0
MSME100307,46.8,69.3,42.9,,51.8,C - Weak,3/4,0
MSME100308,,20.7,,16.6,19.5,D - High Risk,2/4,1
MSME100309,,61.5,59.4,,60.4,B - Moderate,2/4,0
MSME100310,,62.7,57.9,,60.1,B - Moderate,2/4,0
MSME100311,52.5,69.8,,,59.7,B - Moderate,2/4,0
MSME100312,,33.6,,,33.6,D - High Risk,1/4,0
MSME100313,,47.0,38.8,45.8,43.0,C - Weak,3/4,0
MSME100314,73.5,74.3,,,73.8,B - Moderate,2/4,0
MSME100315,71.3,,85.1,,77.7,A - Strong,2/4,0
MSME100316,,42.9,,,42.9,C - Weak,1/4,0
MSME100317,48.3,67.6,,49.2,55.3,B - Moderate,3/4,0
MSME100318,35.7,47.0,,,40.4,C - Weak,2/4,0
MSME100319,87.4,87.9,,92.0,88.2,A - Strong,3/4,0
MSME100320,,,58.0,49.6,55.9,B - Moderate,2/4,0
MSME100321,,40.0,33.1,,36.2,C - Weak,2/4,0
MSME100322,36.1,37.4,,,36.6,C - Weak,2/4,1
MSME100323,85.8,79.8,76.1,,80.9,A - Strong,3/4,0
MSME100324,25.2,,23.2,,24.3,D - High Risk,2/4,0
MSME100325,84.5,80.7,,91.8,84.2,A - Strong,3/4,0
MSME100326,27.7,27.2,32.9,,29.3,D - High Risk,3/4,1
MSME100327,51.8,41.9,,,47.7,C - Weak,2/4,0
MSME100328,58.8,,72.4,,65.1,B - Moderate,2/4,0
MSME100329,,38.6,47.8,,43.6,C - Weak,2/4,1
MSME100330,81.8,86.3,,92.3,84.9,A - Strong,3/4,0
MSME100331,,,,64.3,64.3,B - Moderate,1/4,0
MSME100332,,36.8,,35.4,36.4,C - Weak,2/4,1
MSME100333,46.7,64.1,44.7,,50.9,C - Weak,3/4,0
MSME100334,,76.6,,,76.6,A - Strong,1/4,0
MSME100335,,47.7,,,47.7,C - Weak,1/4,0
MSME100336,48.4,55.2,,59.4,52.4,C - Weak,3/4,0
MSME100337,85.0,82.7,,89.7,84.9,A - Strong,3/4,0
MSME100338,,37.4,,,37.4,C - Weak,1/4,0
MSME100339,78.8,85.6,82.1,69.5,80.6,A - Strong,4/4,0
MSME100340,,32.9,,,32.9,D - High Risk,1/4,1
MSME100341,,35.7,40.6,70.9,43.4,C - Weak,3/4,1
MSME100342,,47.4,34.3,33.0,39.1,C - Weak,3/4,0
MSME100343,,45.8,39.5,,42.4,C - Weak,2/4,0
MSME100344,66.8,,76.2,76.0,71.8,B - Moderate,3/4,0
MSME100345,47.8,57.3,,,51.8,C - Weak,2/4,0
MSME100346,69.1,58.5,55.8,68.2,62.4,B - Moderate,4/4,0
MSME100347,,33.2,,,33.2,D - High Risk,1/4,1
MSME100348,,59.0,60.2,,59.7,B - Moderate,2/4,1
MSME100349,23.4,36.3,,,28.8,D - High Risk,2/4,1
MSME100350,,57.2,,,57.2,B - Moderate,1/4,0
MSME100351,,57.6,,,57.6,B - Moderate,1/4,0
MSME100352,,61.0,,,61.0,B - Moderate,1/4,1
MSME100353,,,49.2,,49.2,C - Weak,1/4,1
MSME100354,80.7,85.3,82.1,,82.4,A - Strong,3/4,0
MSME100355,88.0,91.5,,,89.5,A - Strong,2/4,0
MSME100356,43.3,56.2,42.0,47.7,46.6,C - Weak,4/4,0
MSME100357,60.4,47.9,59.1,,56.5,B - Moderate,3/4,0
MSME100358,40.9,41.0,,,40.9,C - Weak,2/4,0
MSME100359,,61.1,70.8,,66.4,B - Moderate,2/4,0
MSME100360,33.7,61.0,,,45.1,C - Weak,2/4,0
MSME100361,74.5,90.0,65.6,,75.8,A - Strong,3/4,1
MSME100362,20.3,,,,20.3,D - High Risk,1/4,0
MSME100363,73.4,76.3,70.7,,73.3,B - Moderate,3/4,0
MSME100364,,82.7,65.3,62.7,71.6,B - Moderate,3/4,0
MSME100365,34.8,50.8,,,41.5,C - Weak,2/4,0
MSME100366,,61.8,83.7,89.3,76.1,A - Strong,3/4,0
MSME100367,,,,50.0,50.0,C - Weak,1/4,0
MSME100368,,46.3,33.3,,39.2,C - Weak,2/4,0
MSME100369,,25.2,,,25.2,D - High Risk,1/4,1
MSME100370,33.3,,33.1,,33.2,D - High Risk,2/4,0
MSME100371,,22.9,,,22.9,D - High Risk,1/4,1
MSME100372,,52.8,69.0,,61.6,B - Moderate,2/4,0
MSME100373,47.8,62.0,,,53.7,C - Weak,2/4,0
MSME100374,,66.3,57.0,,61.2,B - Moderate,2/4,0
MSME100375,71.5,73.2,,,72.2,B - Moderate,2/4,0
MSME100376,58.1,,64.1,62.0,61.0,B - Moderate,3/4,0
MSME100377,,29.1,30.0,,29.6,D - High Risk,2/4,1
MSME100378,,55.7,51.7,,53.5,C - Weak,2/4,0
MSME100379,,62.8,,47.1,58.3,B - Moderate,2/4,0
MSME100380,,38.7,,,38.7,C - Weak,1/4,0
MSME100381,89.1,93.2,91.1,91.0,90.9,A - Strong,4/4,0
MSME100382,49.5,52.4,67.3,,56.2,B - Moderate,3/4,0
MSME100383,,80.3,,,80.3,A - Strong,1/4,0
MSME100384,,26.6,,,26.6,D - High Risk,1/4,0
MSME100385,86.8,90.2,,90.1,88.5,A - Strong,3/4,0
MSME100386,,83.9,,,83.9,A - Strong,1/4,0
MSME100387,88.2,90.6,82.5,91.2,87.4,A - Strong,4/4,0
MSME100388,24.0,21.2,24.7,,23.5,D - High Risk,3/4,0
MSME100389,79.2,78.1,79.6,,79.0,A - Strong,3/4,0
MSME100390,59.5,61.5,75.5,62.9,65.1,B - Moderate,4/4,0
MSME100391,69.5,72.0,86.8,,76.0,A - Strong,3/4,0
MSME100392,87.1,88.3,85.3,,86.8,A - Strong,3/4,0
MSME100393,,,43.3,35.4,41.3,C - Weak,2/4,0
MSME100394,49.4,70.7,,,58.3,B - Moderate,2/4,0
MSME100395,,78.8,84.6,,82.0,A - Strong,2/4,0
MSME100396,,86.0,77.6,,81.4,A - Strong,2/4,0
MSME100397,41.1,33.9,33.1,,36.4,C - Weak,3/4,0
MSME100398,,31.6,,,31.6,D - High Risk,1/4,1
MSME100399,,28.8,,25.2,27.8,D - High Risk,2/4,0
MSME100400,36.2,34.1,,,35.3,C - Weak,2/4,0
MSME100401,,86.3,82.7,,84.3,A - Strong,2/4,0
MSME100402,85.1,,91.6,81.6,87.2,A - Strong,3/4,0
MSME100403,,57.8,61.3,,59.7,B - Moderate,2/4,0
MSME100404,34.6,,,44.2,36.7,C - Weak,2/4,0
MSME100405,65.6,,,,65.6,B - Moderate,1/4,0
MSME100406,65.3,66.6,,,65.8,B - Moderate,2/4,0
MSME100407,30.4,,,17.8,27.6,D - High Risk,2/4,0
MSME100408,60.8,63.1,65.8,,63.1,B - Moderate,3/4,0
MSME100409,,,57.4,,57.4,B - Moderate,1/4,0
MSME100410,,58.1,88.0,,74.4,B - Moderate,2/4,0
MSME100411,,,62.7,59.0,61.8,B - Moderate,2/4,0
MSME100412,61.5,68.9,,,64.6,B - Moderate,2/4,0
MSME100413,53.2,,37.1,,45.8,C - Weak,2/4,0
MSME100414,87.0,90.9,85.5,,87.6,A - Strong,3/4,0
MSME100415,,80.2,55.1,,66.5,B - Moderate,2/4,0
MSME100416,58.8,49.1,48.0,,52.5,C - Weak,3/4,0
MSME100417,,28.7,,31.1,29.4,D - High Risk,2/4,0
MSME100418,,35.4,,,35.4,C - Weak,1/4,1
