enterprise_id,period,upi_monthly_txn_count,upi_avg_inflow_inr,aa_trade_payable_days,aa_cash_flow_ratio,default_flag
MSME100043,T-60,8.82,28144.35,73.19,1.42,0
MSME100043,T-30,8.36,26409.27,69.56,1.47,0
MSME100044,T-90,,,67.51,0.17,0
MSME100044,T-60,,,60.72,0.17,0
MSME100044,T-30,,,61.09,0.16,0
MSME100045,T-90,100.42,204684.84,,,0
MSME100045,T-60,105.73,192233.87,,,0
MSME100045,T-30,100.01,175381.07,,,0
MSME100046,T-90,10.6,35353.9,57.97,1.02,0
MSME100046,T-60,11.08,36511.84,62.44,1.05,0
MSME100046,T-30,10.61,37687.02,61.53,0.97,0
MSME100047,T-90,10.81,35523.05,53.18,0.15,0
MSME100047,T-60,11.83,35268.55,57.71,0.14,0
MSME100047,T-30,12.53,33219.88,58.73,0.14,0
MSME100048,T-90,45.33,97251.46,50.09,1.27,0
MSME100048,T-60,46.83,104861.97,45.67,1.34,0
MSME100048,T-30,47.86,106178.68,50.8,1.32,0
MSME100049,T-90,6.59,25874.61,67.13,0.38,0
MSME100049,T-60,7.08,26924.32,71.16,0.36,0
MSME100049,T-30,7.83,28599.1,71.22,0.37,0
MSME100050,T-90,9.48,33317.65,97.75,0.42,0
MSME100050,T-60,9.77,36022.96,97.01,0.42,0
MSME100050,T-30,9.74,33255.85,106.67,0.43,0
MSME100051,T-90,6.93,28107.97,,,0
MSME100051,T-60,6.69,27621.1,,,0
MSME100051,T-30,7.21,30275.1,,,0
MSME100052,T-90,170.01,433628.2,22.18,1.45,0
MSME100052,T-60,185.83,435205.51,21.67,1.38,0
MSME100052,T-30,193.84,459625.72,21.33,1.33,0
MSME100053,T-90,78.98,231168.15,66.57,0.75,0
MSME100053,T-60,73.6,225022.48,62.05,0.69,0
MSME100053,T-30,75.63,228537.81,61.25,0.78,0
MSME100054,T-90,130.08,186644.87,50.47,1.12,0
MSME100054,T-60,133.13,191234.74,49.84,1.08,0
MSME100054,T-30,127.23,187414.28,44.36,1.04,0
MSME100055,T-90,,,65.81,1.09,0
MSME100055,T-60,,,58.63,1.13,0
MSME100055,T-30,,,69.18,1.17,0
MSME100056,T-90,11.02,34644.09,53.1,0.5,0
MSME100056,T-60,11.65,34374.4,55.03,0.49,0
MSME100056,T-30,11.39,34097.49,55.3,0.51,0
MSME100057,T-90,5.08,21574.38,41.37,1.44,0
MSME100057,T-60,5.19,20597.56,48.61,1.54,0
MSME100057,T-30,5.66,20271.76,46.82,1.52,0
MSME100058,T-90,5.1,18144.01,86.16,0.0,0
MSME100058,T-60,5.03,16901.18,100.82,0.0,0
MSME100058,T-30,5.46,17907.57,97.61,0.0,0
MSME100059,T-90,4.81,14592.42,,,1
MSME100059,T-60,4.86,13122.25,,,1
MSME100059,T-30,4.6,14522.74,,,1
MSME100060,T-90,73.53,178628.78,81.92,0.88,0
MSME100060,T-60,77.79,182484.22,73.16,0.86,0
MSME100060,T-30,75.1,189463.79,73.51,0.89,0
MSME100061,T-90,11.08,27092.87,,,0
MSME100061,T-60,10.7,25931.51,,,0
MSME100061,T-30,11.63,24873.23,,,0
MSME100062,T-90,11.96,10485.68,74.07,0.07,0
MSME100062,T-60,12.72,9848.19,85.58,0.07,0
MSME100062,T-30,11.97,10497.9,95.35,0.07,0
MSME100063,T-90,96.04,239684.08,51.37,0.8,1
MSME100063,T-60,94.82,221219.65,49.46,0.83,1
MSME100063,T-30,90.24,217974.46,58.85,0.79,1
MSME100064,T-90,47.28,75066.96,,,1
MSME100064,T-60,47.89,81191.28,,,1
MSME100064,T-30,45.4,68572.09,,,1
MSME100065,T-90,6.37,15954.82,,,1
MSME100065,T-60,5.7,15776.95,,,1
MSME100065,T-30,5.67,14911.95,,,1
MSME100066,T-90,8.28,30771.86,,,0
MSME100066,T-60,8.19,31039.63,,,0
MSME100066,T-30,7.66,29393.97,,,0
MSME100067,T-90,7.4,17977.12,,,0
MSME100067,T-60,7.47,18687.83,,,0
MSME100067,T-30,7.8,19663.07,,,0
MSME100068,T-90,11.19,30431.5,50.88,0.67,0
MSME100068,T-60,11.91,32612.1,54.77,0.65,0
MSME100068,T-30,12.7,33162.21,52.86,0.64,0
MSME100069,T-90,17.23,38318.2,71.49,0.95,0
MSME100069,T-60,18.74,38246.66,85.2,0.98,0
MSME100069,T-30,19.3,43072.31,77.83,0.96,0
MSME100070,T-90,5.87,13065.88,69.72,0.0,0
MSME100070,T-60,6.15,12460.26,73.86,0.0,0
MSME100070,T-30,6.14,12639.92,72.24,0.0,0
MSME100071,T-90,12.26,22430.96,56.84,0.84,0
MSME100071,T-60,12.27,22847.79,52.56,0.89,0
MSME100071,T-30,12.85,25940.47,56.1,0.86,0
MSME100072,T-90,,,71.32,0.36,0
MSME100072,T-60,,,65.39,0.37,0
MSME100072,T-30,,,69.36,0.39,0
MSME100073,T-90,7.08,34126.81,42.99,1.27,0
MSME100073,T-60,6.51,35318.61,38.15,1.32,0
MSME100073,T-30,6.64,37334.55,41.54,1.36,0
MSME100074,T-90,,,65.88,0.81,0
MSME100074,T-60,,,66.78,0.89,0
MSME100074,T-30,,,69.67,0.94,0
MSME100075,T-90,9.0,20684.96,80.0,0.1,0
MSME100075,T-60,9.24,19675.52,82.15,0.1,0
MSME100075,T-30,9.14,20387.94,71.36,0.1,0
MSME100076,T-90,17.89,29629.38,85.63,0.35,0
MSME100076,T-60,19.79,30835.18,80.07,0.37,0
MSME100076,T-30,20.23,31652.09,86.54,0.37,0
MSME100077,T-90,,,102.72,0.0,1
MSME100077,T-60,,,108.62,0.0,1
MSME100077,T-30,,,110.98,0.0,1
MSME100078,T-90,6.0,23421.8,,,0
MSME100078,T-60,6.3,21935.09,,,0
MSME100078,T-30,6.79,23765.82,,,0
MSME100079,T-90,117.12,385306.32,,,0
MSME100079,T-60,120.94,377184.31,,,0
MSME100079,T-30,125.9,391151.35,,,0
MSME100080,T-90,60.5,103690.02,85.36,0.68,0
MSME100080,T-60,63.83,114670.84,82.78,0.7,0
MSME100080,T-30,64.5,112696.0,82.27,0.7,0
MSME100081,T-90,6.98,13566.34,,,0
MSME100081,T-60,6.82,12977.99,,,0
MSME100081,T-30,7.51,12860.28,,,0
MSME100082,T-90,99.11,203674.0,,,0
MSME100082,T-60,96.87,220116.1,,,0
MSME100082,T-30,88.17,190909.55,,,0
MSME100083,T-90,19.77,46730.2,,,0
MSME100083,T-60,20.39,46705.28,,,0
MSME100083,T-30,20.12,48397.72,,,0
MSME100084,T-90,7.31,28051.12,78.42,0.72,0
MSME100084,T-60,7.12,31134.54,76.59,0.75,0
MSME100084,T-30,7.22,34941.02,88.62,0.79,0
MSME100085,T-90,9.7,19433.82,,,0
MSME100085,T-60,9.28,19323.65,,,0
MSME100085,T-30,9.54,20670.2,,,0
MSME100086,T-90,96.8,240297.7,21.98,1.36,0
MSME100086,T-60,97.67,246794.86,23.32,1.46,0
MSME100086,T-30,101.22,238900.18,24.25,1.51,0
MSME100087,T-90,11.62,15342.99,,,0
MSME100087,T-60,12.09,16368.27,,,0
MSME100087,T-30,12.51,15579.75,,,0
MSME100088,T-90,5.19,16263.03,,,1
MSME100088,T-60,4.93,14755.78,,,1
MSME100088,T-30,4.72,15071.65,,,1
MSME100089,T-90,10.63,21529.55,,,0
MSME100089,T-60,11.64,23362.24,,,0
MSME100089,T-30,11.96,23555.6,,,0
MSME100090,T-90,10.67,38744.57,,,0
MSME100090,T-60,10.81,37572.27,,,0
MSME100090,T-30,11.0,35240.69,,,0
MSME100091,T-90,16.77,48902.86,86.1,0.29,1
MSME100091,T-60,17.05,47521.0,92.31,0.31,1
MSME100091,T-30,17.16,43123.02,94.54,0.28,1
MSME100092,T-90,,,,,1
MSME100092,T-60,,,,,1
MSME100092,T-30,,,,,1
MSME100093,T-90,5.13,16115.97,,,0
MSME100093,T-60,4.82,16965.38,,,0
MSME100093,T-30,4.71,18437.51,,,0
MSME100094,T-90,,,104.83,0.1,1
MSME100094,T-60,,,112.5,0.1,1
MSME100094,T-30,,,106.49,0.1,1
MSME100095,T-90,,,,,0
MSME100095,T-60,,,,,0
MSME100095,T-30,,,,,0
MSME100096,T-90,8.71,31672.89,,,0
MSME100096,T-60,8.98,30786.17,,,0
MSME100096,T-30,9.3,30539.19,,,0
MSME100097,T-90,10.13,28084.65,82.96,0.49,0
MSME100097,T-60,11.0,29107.19,82.14,0.53,0
MSME100097,T-30,10.55,29606.97,87.72,0.5,0
MSME100098,T-90,7.91,30763.08,80.32,0.54,0
MSME100098,T-60,7.76,32036.18,76.15,0.55,0
MSME100098,T-30,7.6,30873.43,80.0,0.55,0
MSME100099,T-90,564.78,1291576.18,,,0
MSME100099,T-60,584.39,1441703.53,,,0
MSME100099,T-30,623.15,1473345.52,,,0
MSME100100,T-90,70.32,244777.2,35.04,1.1,0
MSME100100,T-60,77.41,247010.14,39.3,1.08,0
MSME100100,T-30,76.83,286629.09,37.84,1.14,0
MSME100101,T-90,,,,,0
MSME100101,T-60,,,,,0
MSME100101,T-30,,,,,0
MSME100102,T-90,7.95,17940.11,104.77,0.06,0
MSME100102,T-60,8.5,19685.96,104.5,0.06,0
MSME100102,T-30,8.78,21908.44,93.35,0.06,0
MSME100103,T-90,458.99,1131967.39,,,0
MSME100103,T-60,443.67,1105913.47,,,0
MSME100103,T-30,452.41,1161674.85,,,0
MSME100104,T-90,16.31,32027.4,33.93,1.11,0
MSME100104,T-60,16.03,29853.15,34.28,1.13,0
MSME100104,T-30,16.71,28929.67,31.28,1.16,0
MSME100105,T-90,,,66.72,0.32,0
MSME100105,T-60,,,74.82,0.33,0
MSME100105,T-30,,,65.83,0.31,0
MSME100106,T-90,10.58,28745.93,,,1
MSME100106,T-60,10.18,27323.41,,,1
MSME100106,T-30,10.31,29717.06,,,1
MSME100107,T-90,,,90.15,0.03,0
MSME100107,T-60,,,81.73,0.03,0
MSME100107,T-30,,,87.08,0.03,0
MSME100108,T-90,8.21,11057.43,,,0
MSME100108,T-60,8.48,12175.32,,,0
MSME100108,T-30,8.65,12479.37,,,0
MSME100109,T-90,56.54,120394.37,81.5,0.64,0
MSME100109,T-60,56.12,126658.67,80.19,0.67,0
MSME100109,T-30,57.84,136384.66,64.29,0.67,0
MSME100110,T-90,15.4,22726.5,,,0
MSME100110,T-60,14.22,24885.26,,,0
MSME100110,T-30,14.63,25949.32,,,0
MSME100111,T-90,20.14,35580.05,48.24,1.19,1
MSME100111,T-60,17.51,37990.13,52.56,1.25,1
MSME100111,T-30,17.19,34527.45,65.16,1.18,1
MSME100112,T-90,7.8,19559.6,,,1
MSME100112,T-60,7.73,19761.6,,,1
MSME100112,T-30,7.62,20185.38,,,1
MSME100113,T-90,7.07,22988.1,,,0
MSME100113,T-60,6.75,22063.02,,,0
MSME100113,T-30,7.13,24441.16,,,0
MSME100114,T-90,11.18,23616.62,56.76,0.23,0
MSME100114,T-60,10.83,24780.25,52.48,0.24,0
MSME100114,T-30,11.83,22143.24,52.89,0.24,0
MSME100115,T-90,7.33,22687.92,109.5,0.3,0
MSME100115,T-60,7.69,22549.52,106.17,0.31,0
MSME100115,T-30,7.96,24308.74,104.79,0.31,0
MSME100116,T-90,,,,,0
MSME100116,T-60,,,,,0
MSME100116,T-30,,,,,0
MSME100117,T-90,95.92,149317.23,76.14,0.86,0
MSME100117,T-60,102.51,162554.16,72.32,0.92,0
MSME100117,T-30,98.29,166475.76,70.64,0.94,0
MSME100118,T-90,,,,,0
MSME100118,T-60,,,,,0
MSME100118,T-30,,,,,0
MSME100119,T-90,,,97.94,0.16,0
MSME100119,T-60,,,91.45,0.16,0
MSME100119,T-30,,,87.51,0.17,0
MSME100120,T-90,8.95,27125.34,,,0
MSME100120,T-60,8.79,29766.25,,,0
MSME100120,T-30,8.99,28311.13,,,0
MSME100121,T-90,,,99.92,0.51,0
MSME100121,T-60,,,109.26,0.51,0
MSME100121,T-30,,,98.43,0.58,0
MSME100122,T-90,21.18,34410.67,,,0
MSME100122,T-60,22.18,32692.01,,,0
MSME100122,T-30,23.64,35075.52,,,0
MSME100123,T-90,15.65,32332.97,22.38,1.27,0
MSME100123,T-60,16.36,34429.59,23.39,1.36,0
MSME100123,T-30,17.0,33261.19,23.96,1.4,0
MSME100124,T-90,18.7,25841.02,,,0
MSME100124,T-60,18.74,27560.22,,,0
MSME100124,T-30,19.33,26980.13,,,0
MSME100125,T-90,4.65,17261.99,,,0
MSME100125,T-60,5.14,17580.58,,,0
MSME100125,T-30,4.77,19517.25,,,0
MSME100126,T-90,6.98,26194.15,,,0
MSME100126,T-60,7.38,27644.41,,,0
MSME100126,T-30,7.59,30059.26,,,0
MSME100127,T-90,6.16,16825.75,,,1
MSME100127,T-60,5.81,16113.77,,,1
MSME100127,T-30,5.71,15350.72,,,1
MSME100128,T-90,4.88,26963.0,,,0
MSME100128,T-60,5.01,28110.85,,,0
MSME100128,T-30,5.05,28868.66,,,0
MSME100129,T-90,10.25,16761.24,,,1
MSME100129,T-60,10.49,16705.15,,,1
MSME100129,T-30,9.38,15771.44,,,1
MSME100130,T-90,15.09,40498.05,,,0
MSME100130,T-60,15.89,44795.81,,,0
MSME100130,T-30,15.5,40078.26,,,0
MSME100131,T-90,753.22,2274204.73,29.63,1.29,0
MSME100131,T-60,832.69,2304757.18,27.43,1.33,0
MSME100131,T-30,868.42,2282664.04,27.29,1.44,0
MSME100132,T-90,4.94,19973.51,,,0
MSME100132,T-60,4.64,20763.69,,,0
MSME100132,T-30,4.85,20894.27,,,0
MSME100133,T-90,8.0,25371.54,103.26,0.0,0
MSME100133,T-60,8.61,26970.14,100.97,0.0,0
MSME100133,T-30,8.96,29136.18,102.22,0.0,0
MSME100134,T-90,19.86,30999.72,94.27,0.26,0
MSME100134,T-60,20.19,31128.9,97.14,0.28,0
MSME100134,T-30,19.74,32571.31,95.02,0.29,0
MSME100135,T-90,16.9,47161.6,,,0
MSME100135,T-60,17.07,46060.61,,,0
MSME100135,T-30,17.68,45270.23,,,0
MSME100136,T-90,799.06,1846955.68,57.55,1.41,0
MSME100136,T-60,804.5,1906837.82,49.42,1.42,0
MSME100136,T-30,890.61,1878249.32,50.3,1.34,0
MSME100137,T-90,15.73,21555.29,,,0
MSME100137,T-60,16.22,21549.7,,,0
MSME100137,T-30,16.72,23592.88,,,0
MSME100138,T-90,,,46.66,0.57,1
MSME100138,T-60,,,53.67,0.52,1
MSME100138,T-30,,,59.75,0.51,1
MSME100139,T-90,10.96,32382.55,,,0
MSME100139,T-60,11.09,33058.37,,,0
MSME100139,T-30,12.05,33846.38,,,0
MSME100140,T-90,7.3,37818.8,,,0
MSME100140,T-60,7.64,36898.75,,,0
MSME100140,T-30,9.12,39141.82,,,0
MSME100141,T-90,12.41,26940.49,,,0
MSME100141,T-60,11.99,25981.31,,,0
MSME100141,T-30,12.5,27117.57,,,0
MSME100142,T-90,436.3,971064.93,,,0
MSME100142,T-60,433.93,1020387.14,,,0
MSME100142,T-30,393.88,989465.79,,,0
MSME100143,T-90,6.54,9454.2,,,0
MSME100143,T-60,6.79,9728.93,,,0
MSME100143,T-30,7.16,10115.53,,,0
MSME100144,T-90,5.88,25316.16,101.71,0.16,0
MSME100144,T-60,5.86,25625.44,101.23,0.16,0
MSME100144,T-30,6.04,26481.6,100.25,0.16,0
MSME100145,T-90,7.17,35066.06,41.65,1.18,0
MSME100145,T-60,7.17,33504.12,42.22,1.12,0
MSME100145,T-30,6.69,37634.95,40.03,1.2,0
MSME100146,T-90,11.9,30641.23,,,0
MSME100146,T-60,12.23,29609.28,,,0
MSME100146,T-30,12.52,31274.61,,,0
MSME100147,T-90,5.06,21255.22,,,0
MSME100147,T-60,5.26,20175.07,,,0
MSME100147,T-30,5.93,19866.85,,,0
MSME100148,T-90,8.27,24009.2,67.34,1.0,0
MSME100148,T-60,8.23,23299.46,74.67,0.99,0
MSME100148,T-30,8.16,26579.16,66.47,0.97,0
MSME100149,T-90,19.53,37192.3,37.07,0.81,0
MSME100149,T-60,18.7,38201.77,33.15,0.85,0
MSME100149,T-30,18.86,39691.76,38.07,0.87,0
MSME100150,T-90,99.9,236798.16,32.07,1.43,0
MSME100150,T-60,96.23,267476.14,29.36,1.36,0
MSME100150,T-30,89.06,256889.17,30.22,1.45,0
MSME100151,T-90,,,61.37,1.48,0
MSME100151,T-60,,,54.69,1.42,0
MSME100151,T-30,,,47.83,1.4,0
MSME100152,T-90,9.1,20246.6,55.81,0.48,0
MSME100152,T-60,9.3,21971.39,54.48,0.46,0
MSME100152,T-30,9.22,20793.31,53.07,0.46,0
MSME100153,T-90,15.56,27134.96,31.19,2.17,0
MSME100153,T-60,15.87,27972.67,31.18,2.24,0
MSME100153,T-30,15.38,26367.5,30.13,2.26,0
MSME100154,T-90,8.19,20075.76,71.22,0.36,0
MSME100154,T-60,8.76,20435.76,66.8,0.38,0
MSME100154,T-30,8.96,20855.59,70.11,0.42,0
MSME100155,T-90,,,,,0
MSME100155,T-60,,,,,0
MSME100155,T-30,,,,,0
MSME100156,T-90,5.95,25764.45,72.39,0.35,0
MSME100156,T-60,5.98,26569.52,70.08,0.34,0
MSME100156,T-30,5.7,26258.55,68.57,0.38,0
MSME100157,T-90,42.81,120549.12,,,0
MSME100157,T-60,41.23,119548.17,,,0
MSME100157,T-30,41.25,125838.61,,,0
MSME100158,T-90,77.22,192376.47,66.89,0.65,0
MSME100158,T-60,75.25,173281.12,68.45,0.65,0
MSME100158,T-30,76.01,186308.92,67.56,0.64,0
MSME100159,T-90,107.33,211890.6,33.02,1.13,0
MSME100159,T-60,112.69,226289.67,34.14,1.17,0
MSME100159,T-30,126.85,249495.57,29.2,1.12,0
MSME100160,T-90,12.53,36178.44,,,0
MSME100160,T-60,13.0,36563.81,,,0
MSME100160,T-30,13.15,36917.44,,,0
MSME100161,T-90,99.9,256691.81,57.75,0.76,0
MSME100161,T-60,104.48,299204.8,59.43,0.77,0
MSME100161,T-30,105.98,266853.67,58.09,0.74,0
MSME100162,T-90,10.73,34048.97,,,0
MSME100162,T-60,10.81,34868.16,,,0
MSME100162,T-30,10.93,36183.59,,,0
MSME100163,T-90,12.83,21251.28,,,0
MSME100163,T-60,13.61,22610.77,,,0
MSME100163,T-30,14.16,21661.5,,,0
MSME100164,T-90,8.6,27200.46,,,0
MSME100164,T-60,8.63,28079.89,,,0
MSME100164,T-30,8.46,27625.04,,,0
MSME100165,T-90,9.76,17468.68,,,1
MSME100165,T-60,9.9,17888.0,,,1
MSME100165,T-30,9.1,15581.91,,,1
MSME100166,T-90,81.79,173872.08,70.3,0.71,0
MSME100166,T-60,77.03,168175.64,81.46,0.74,0
MSME100166,T-30,79.06,147236.34,77.96,0.74,0
MSME100167,T-90,86.44,139292.44,31.17,1.77,0
MSME100167,T-60,83.0,154914.53,32.45,1.74,0
MSME100167,T-30,76.85,144040.87,33.05,1.69,0
MSME100168,T-90,1.03,13014.23,99.23,0.02,1
MSME100168,T-60,0.98,11191.4,113.64,0.02,1
MSME100168,T-30,0.98,11206.19,133.82,0.02,1
MSME100169,T-90,,,,,0
MSME100169,T-60,,,,,0
MSME100169,T-30,,,,,0
MSME100170,T-90,9.4,17618.63,,,1
MSME100170,T-60,8.85,16300.05,,,1
MSME100170,T-30,7.83,16510.81,,,1
MSME100171,T-90,8.2,28862.84,65.87,1.3,0
MSME100171,T-60,7.72,24998.95,63.29,1.32,0
MSME100171,T-30,7.32,26594.01,62.36,1.4,0
MSME100172,T-90,8.05,23243.26,,,0
MSME100172,T-60,7.62,25080.39,,,0
MSME100172,T-30,8.4,26705.14,,,0
MSME100173,T-90,729.36,2397588.39,48.12,1.61,0
MSME100173,T-60,748.92,2158431.34,47.87,1.52,0
MSME100173,T-30,792.85,2288970.79,51.11,1.56,0
MSME100174,T-90,13.96,19088.7,,,0
MSME100174,T-60,14.84,17841.32,,,0
MSME100174,T-30,14.77,19230.02,,,0
MSME100175,T-90,8.99,23315.62,92.56,0.39,0
MSME100175,T-60,9.59,24917.41,84.48,0.41,0
MSME100175,T-30,9.98,25700.52,92.61,0.41,0
MSME100176,T-90,5.2,18918.91,,,1
MSME100176,T-60,4.54,18623.15,,,1
MSME100176,T-30,3.98,15679.13,,,1
MSME100177,T-90,318.48,901358.13,77.4,0.61,0
MSME100177,T-60,330.29,785193.27,79.94,0.58,0
MSME100177,T-30,319.4,832770.32,69.07,0.58,0
MSME100178,T-90,58.99,120718.59,79.54,0.66,0
MSME100178,T-60,62.92,121677.41,76.73,0.68,0
MSME100178,T-30,60.16,118905.08,78.78,0.69,0
MSME100179,T-90,13.75,25473.38,,,0
MSME100179,T-60,13.91,26565.62,,,0
MSME100179,T-30,14.95,28282.0,,,0
MSME100180,T-90,87.33,192977.85,68.15,1.08,0
MSME100180,T-60,82.11,193969.77,67.79,1.06,0
MSME100180,T-30,82.49,179137.93,64.38,1.1,0
MSME100181,T-90,,,78.16,1.43,0
MSME100181,T-60,,,77.61,1.47,0
MSME100181,T-30,,,81.11,1.57,0
MSME100182,T-90,9.79,20612.76,73.01,0.38,0
MSME100182,T-60,10.58,20239.24,66.23,0.38,0
MSME100182,T-30,10.21,21140.43,73.8,0.41,0
MSME100183,T-90,17.18,26216.12,45.49,0.44,0
MSME100183,T-60,17.38,26111.78,48.26,0.46,0
