enterprise_id,segment,sector,years_in_operation,is_ntc,is_ntb,gst_registered,gst_filing_consistency_pct,gst_turnover_growth_rate,gst_avg_monthly_turnover_inr,gst_late_filing_count_12m,upi_available,upi_monthly_txn_count,upi_avg_inflow_inr,upi_inflow_volatility,upi_bounce_rate_pct,aa_consent_given,aa_avg_bank_balance_inr,aa_trade_payable_days,aa_cash_flow_ratio,aa_emi_to_inflow_ratio,aa_overdraft_utilization_pct,epfo_registered,epfo_employee_count,epfo_contribution_consistency_pct,epfo_avg_wage_inr,epfo_employee_growth_rate,default_flag,gst_score,upi_score,aa_score,epfo_score,overall_health_score,risk_tier
MSME100038,Micro,Construction,2.3,1,0,1,7.8,-17.36,36600.0,4.0,1,7.0,15900.0,0.522,12.66,0,,,,,,1,0.0,12.2,16000.0,4.72,0,19.2,41.2,,22.9,27.8,High Risk
MSME100039,Small,Services,0.4,0,0,0,,,,,0,,,,,1,7300.0,58.4,0.46,0.49,57.2,0,,,,,0,,,46.2,,46.2,Moderate Risk
MSME100040,Micro,Trading/Retail,8.7,0,1,1,6.5,-1.35,29100.0,3.0,1,11.0,11000.0,0.661,17.69,0,,,,,,0,,,,,0,25.8,33.3,,,29.2,High Risk
MSME100041,Small,Textile,2.0,0,0,1,92.4,-4.75,326400.0,1.0,0,,,,,0,,,,,,0,,,,,0,72.8,,,,72.8,Low Risk
MSME100042,Small,Agriculture & Allied,2.6,0,0,1,43.4,13.61,295100.0,1.0,0,,,,,1,145100.0,93.2,0.53,0.528,38.4,1,24.0,24.6,19500.0,1.59,0,53.8,,43.4,29.0,44.7,Moderate Risk
MSME100043,Micro,Trading/Retail,2.1,1,0,1,44.7,12.92,45300.0,4.0,1,8.0,28700.0,0.458,10.55,1,16300.0,75.9,1.44,0.47,52.1,0,,,,,0,46.7,44.7,52.1,,48.0,Moderate Risk
MSME100044,Small,Trading/Retail,4.0,0,1,1,39.2,-5.29,333800.0,4.0,0,,,,,1,126200.0,65.1,0.17,0.282,33.5,0,,,,,0,38.5,,53.2,,45.8,Moderate Risk
MSME100045,Small,Construction,15.3,0,1,1,91.6,12.72,270300.0,0.0,1,105.0,194300.0,0.02,5.61,0,,,,,,0,,,,,0,80.1,61.8,,,71.8,Low Risk
MSME100046,Micro,Services,7.7,0,0,1,84.6,-2.91,53300.0,3.0,1,10.0,37100.0,0.348,10.82,1,27300.0,60.5,1.01,0.323,26.3,0,,,,,0,64.4,47.3,60.6,,58.0,Moderate Risk
MSME100047,Micro,Manufacturing,6.3,0,0,0,,,,,1,11.0,33800.0,0.429,13.95,1,20900.0,54.9,0.15,0.372,45.4,0,,,,,0,,42.5,50.0,,46.6,Moderate Risk
MSME100048,Small,Services,5.5,0,0,1,85.5,-9.33,194100.0,1.0,1,45.0,99700.0,0.325,8.09,1,55800.0,46.7,1.29,0.213,35.2,1,26.0,88.3,16900.0,-5.63,0,68.0,50.9,66.3,56.5,61.5,Low Risk
MSME100049,Micro,Construction,3.5,0,1,1,46.9,-6.07,42900.0,4.0,1,7.0,26200.0,0.394,11.22,1,8900.0,68.1,0.38,0.338,41.6,0,,,,,0,42.1,45.7,51.1,,46.3,Moderate Risk
MSME100050,Micro,Services,3.6,0,0,0,,,,,1,10.0,33100.0,0.428,10.09,1,14100.0,99.7,0.4,0.488,61.8,0,,,,,0,,45.9,37.7,,41.4,Moderate Risk
MSME100051,Micro,Trading/Retail,6.1,0,0,0,,,,,1,7.0,28200.0,0.339,14.02,0,,,,,,0,,,,,0,,44.7,,,44.7,Moderate Risk
MSME100052,Small,Trading/Retail,14.2,0,0,1,97.6,-11.19,479900.0,1.0,1,177.0,419600.0,0.341,7.92,1,234600.0,21.8,1.35,0.131,3.2,1,31.0,97.5,18100.0,9.94,0,73.4,52.9,79.6,68.8,69.4,Low Risk
MSME100053,Small,Manufacturing,3.3,0,1,1,53.8,25.24,322800.0,6.0,1,80.0,228300.0,0.508,11.81,1,57400.0,67.4,0.73,0.204,49.5,0,,,,,0,50.0,43.6,55.9,,50.2,Moderate Risk
MSME100054,Small,Agriculture & Allied,10.9,0,0,1,70.2,-2.05,367600.0,1.0,1,134.0,193700.0,0.222,9.99,1,214000.0,49.1,1.13,0.16,21.3,0,,,,,0,62.5,53.4,68.8,,62.0,Low Risk
MSME100055,Small,Services,2.2,1,1,1,24.6,3.71,298600.0,1.0,0,,,,,1,147200.0,62.3,1.17,0.403,54.8,1,25.0,22.2,11600.0,-1.06,0,41.4,,53.6,23.5,42.7,Moderate Risk
MSME100056,Micro,Manufacturing,8.7,0,1,0,,,,,1,11.0,33900.0,0.146,6.52,1,20500.0,53.6,0.5,0.346,32.8,0,,,,,0,,56.2,56.0,,56.1,Moderate Risk
MSME100057,Micro,Agriculture & Allied,13.9,0,0,1,90.7,-11.33,35500.0,2.0,1,5.0,21900.0,0.292,4.65,1,21200.0,43.3,1.44,0.239,15.2,0,,,,,0,67.5,54.0,71.3,,64.9,Low Risk
MSME100058,Micro,Manufacturing,5.1,0,1,0,,,,,1,5.0,17900.0,0.595,17.55,1,11900.0,94.6,-0.41,0.715,79.3,0,,,,,0,,35.0,22.9,,28.4,High Risk
MSME100059,Micro,Services,3.5,0,1,1,20.4,-6.91,33700.0,4.0,1,5.0,14300.0,0.522,13.64,0,,,,,,1,9.0,35.0,10700.0,2.86,1,28.6,40.3,,31.4,33.4,High Risk
MSME100060,Small,Trading/Retail,8.7,0,0,1,46.5,3.28,342900.0,4.0,1,76.0,176200.0,0.177,8.63,1,74900.0,80.4,0.85,0.319,25.5,1,18.0,45.3,14800.0,14.74,0,44.7,54.7,56.2,43.6,50.5,Moderate Risk
MSME100061,Micro,Construction,16.5,0,0,1,88.3,1.85,40900.0,5.0,1,11.0,26800.0,0.358,3.19,0,,,,,,0,,,,,0,62.7,53.7,,,58.6,Moderate Risk
MSME100062,Micro,Construction,10.5,0,1,1,18.9,-3.23,29000.0,5.0,1,12.0,10000.0,0.23,19.01,1,11700.0,85.5,0.07,0.55,67.9,0,,,,,0,26.5,43.2,34.8,,34.3,High Risk
MSME100063,Small,Construction,18.0,0,1,1,64.2,-4.69,300600.0,0.0,1,96.0,236500.0,0.143,7.38,1,85500.0,50.3,0.85,0.058,24.8,1,24.0,65.1,15000.0,2.74,1,61.2,57.0,68.6,48.0,60.4,Low Risk
MSME100064,Small,Manufacturing,5.5,0,1,1,12.1,11.02,210800.0,3.0,1,49.0,78500.0,0.439,15.16,0,,,,,,0,,,,,1,32.4,41.9,,,36.7,High Risk
MSME100065,Micro,Manufacturing,5.3,0,0,1,5.0,11.81,35100.0,7.0,1,6.0,16100.0,0.613,12.99,0,,,,,,1,3.0,7.7,9900.0,1.16,1,19.0,38.6,,16.7,25.5,High Risk
MSME100066,Micro,Trading/Retail,1.4,1,1,1,55.2,7.23,47000.0,1.0,1,8.0,29100.0,0.239,5.97,0,,,,,,0,,,,,0,57.8,54.3,,,56.2,Moderate Risk
MSME100067,Micro,IT/ITES,3.4,1,0,1,5.0,2.5,34600.0,6.0,1,7.0,18100.0,0.372,12.82,0,,,,,,0,,,,,0,18.8,44.9,,,30.7,High Risk
MSME100068,Micro,Trading/Retail,5.0,0,0,1,57.7,-6.33,54500.0,3.0,1,11.0,31900.0,0.164,12.62,1,30100.0,51.1,0.65,0.269,33.1,0,,,,,0,50.0,50.4,59.6,,53.5,Moderate Risk
MSME100069,Micro,Food Processing,5.4,0,1,0,,,,,1,17.0,37600.0,0.408,14.35,1,18300.0,75.9,0.97,0.348,34.5,0,,,,,0,,42.8,55.3,,49.6,Moderate Risk
MSME100070,Micro,Construction,8.6,0,1,1,11.2,-4.14,27100.0,8.0,1,6.0,12600.0,0.5,13.58,1,6400.0,69.6,-0.21,0.52,49.4,0,,,,,0,14.9,40.9,40.0,,31.4,High Risk
MSME100071,Micro,Trading/Retail,3.7,0,0,1,70.0,-14.06,41700.0,4.0,1,12.0,22100.0,0.143,11.33,1,9300.0,55.1,0.88,0.275,31.5,1,3.0,78.3,15400.0,0.04,0,51.3,52.1,60.8,53.6,54.7,Moderate Risk
MSME100072,Small,Manufacturing,3.9,0,0,1,12.5,-4.77,284500.0,4.0,0,,,,,1,102300.0,68.5,0.36,0.422,51.0,1,14.0,28.7,15500.0,4.02,0,25.3,,46.7,30.6,34.9,High Risk
MSME100073,Micro,Trading/Retail,20.0,0,0,1,51.0,1.26,41300.0,3.0,1,7.0,35900.0,0.582,9.16,1,19200.0,40.1,1.29,0.208,23.9,0,,,,,0,48.9,42.7,69.8,,54.5,Moderate Risk
MSME100074,Micro,Services,0.4,0,1,0,,,,,0,,,,,1,22300.0,67.1,0.87,0.526,59.0,1,5.0,22.3,13300.0,12.41,0,,,46.4,30.5,41.1,Moderate Risk
MSME100075,Micro,IT/ITES,0.6,0,0,1,29.0,1.81,30900.0,7.0,1,9.0,19900.0,0.343,12.37,1,6900.0,82.3,0.1,0.331,63.8,0,,,,,0,28.0,46.0,42.3,,38.3,High Risk
MSME100076,Micro,Manufacturing,2.5,0,1,0,,,,,1,18.0,29500.0,0.542,10.14,1,14200.0,76.3,0.36,0.673,57.2,1,5.0,8.4,15800.0,6.35,0,,43.1,37.4,21.7,36.1,High Risk
MSME100077,Small,IT/ITES,0.6,1,1,1,5.0,-3.15,227300.0,2.0,0,,,,,1,67200.0,103.5,-0.37,0.615,61.4,1,16.0,5.0,12900.0,-1.51,1,27.1,,28.0,15.2,25.1,High Risk
MSME100078,Micro,Trading/Retail,0.7,1,0,0,,,,,1,6.0,22700.0,0.312,10.57,0,,,,,,1,3.0,17.0,14700.0,-2.83,0,,48.3,,21.3,38.2,High Risk
MSME100079,Small,Manufacturing,4.1,0,0,1,72.1,-6.9,442400.0,1.0,1,115.0,376300.0,0.397,8.38,0,,,,,,0,,,,,0,62.0,50.0,,,56.5,Moderate Risk
MSME100080,Small,Agriculture & Allied,6.9,0,1,1,34.2,1.19,280400.0,5.0,1,61.0,108700.0,0.205,14.64,1,125100.0,86.4,0.68,0.527,55.7,0,,,,,0,35.5,48.5,42.3,,41.7,Moderate Risk
MSME100081,Micro,Textile,4.0,1,0,1,59.0,10.36,26100.0,5.0,1,7.0,13700.0,0.453,7.18,0,,,,,,0,,,,,0,50.6,47.7,,,49.3,Moderate Risk
MSME100082,Small,Manufacturing,7.2,0,0,1,73.5,2.88,340700.0,1.0,1,99.0,204400.0,0.238,10.15,0,,,,,,0,,,,,0,65.6,52.2,,,59.5,Moderate Risk
MSME100083,Micro,Food Processing,9.5,0,0,0,,,,,1,20.0,44900.0,0.213,8.41,0,,,,,,0,,,,,0,,53.0,,,53.0,Moderate Risk
MSME100084,Micro,Agriculture & Allied,6.4,1,1,0,,,,,1,7.0,31100.0,0.496,10.96,1,16800.0,84.4,0.75,0.398,53.7,0,,,,,0,,43.3,47.0,,45.3,Moderate Risk
MSME100085,Micro,Construction,7.2,0,1,0,,,,,1,10.0,19500.0,0.463,9.91,0,,,,,,0,,,,,0,,45.2,,,45.2,Moderate Risk
MSME100086,Small,Food Processing,4.4,0,0,1,79.5,4.96,288600.0,0.0,1,95.0,240400.0,0.203,5.66,1,73700.0,23.6,1.37,0.074,5.8,1,26.0,93.7,21100.0,3.51,0,71.7,57.0,80.5,65.0,69.7,Low Risk
MSME100087,Micro,Trading/Retail,3.7,1,1,0,,,,,1,12.0,16200.0,0.65,17.31,0,,,,,,1,1.0,5.0,9800.0,-4.42,0,,34.0,,12.7,26.0,High Risk
MSME100088,Micro,Trading/Retail,0.5,1,1,0,,,,,1,5.0,16000.0,0.54,20.81,0,,,,,,0,,,,,1,,33.6,,,33.6,High Risk
MSME100089,Micro,Food Processing,9.9,0,0,0,,,,,1,11.0,22600.0,0.574,15.8,0,,,,,,0,,,,,0,,37.2,,,37.2,High Risk
MSME100090,Micro,Services,6.1,0,0,0,,,,,1,11.0,36300.0,0.351,8.0,0,,,,,,0,,,,,0,,49.7,,,49.7,Moderate Risk
MSME100091,Small,Trading/Retail,6.8,0,1,1,5.4,-4.42,147400.0,4.0,1,17.0,49000.0,0.7,16.66,1,32900.0,86.6,0.3,0.742,75.0,0,,,,,1,21.9,33.3,29.8,,28.0,High Risk
MSME100092,Micro,Manufacturing,1.4,1,1,0,,,,,0,,,,,0,,,,,,0,,,,,1,,,,,,
MSME100093,Micro,Manufacturing,2.7,1,1,1,24.2,-0.64,33800.0,6.0,1,5.0,17200.0,0.49,6.27,0,,,,,,0,,,,,0,27.4,47.6,,,36.6,High Risk
MSME100094,Micro,Services,4.2,0,0,1,5.0,-14.59,20300.0,6.0,0,,,,,1,3300.0,102.9,0.1,0.754,83.4,1,3.0,5.1,10300.0,-6.34,1,13.6,,23.5,12.0,17.2,High Risk
MSME100095,Small,Manufacturing,2.0,0,0,1,25.9,3.98,239500.0,3.0,0,,,,,0,,,,,,0,,,,,0,37.1,,,,37.1,High Risk
MSME100096,Micro,Manufacturing,6.3,0,0,1,25.2,8.69,42700.0,5.0,1,9.0,30600.0,0.315,11.64,0,,,,,,0,,,,,0,33.2,47.4,,,39.7,High Risk
MSME100097,Micro,Trading/Retail,6.0,0,0,0,,,,,1,10.0,27600.0,0.36,12.5,1,17000.0,85.2,0.51,0.754,58.2,1,1.0,17.4,9400.0,3.64,0,,45.5,34.6,22.5,35.9,High Risk
MSME100098,Micro,Textile,5.7,0,1,0,,,,,1,8.0,31400.0,0.449,12.9,1,16100.0,82.0,0.54,0.45,44.4,0,,,,,0,,42.9,46.3,,44.8,Moderate Risk
MSME100099,Medium,Services,9.8,0,1,1,67.3,4.04,2147600.0,1.0,1,558.0,1380200.0,0.629,5.26,0,,,,,,1,112.0,72.7,18100.0,6.14,0,62.9,54.6,,54.6,58.2,Moderate Risk
MSME100100,Small,Trading/Retail,6.4,0,0,1,64.6,-7.62,310100.0,2.0,1,71.0,246400.0,0.192,7.19,1,108200.0,38.4,1.1,0.12,39.3,1,18.0,65.6,15700.0,6.97,0,55.5,55.5,67.9,50.5,58.5,Moderate Risk
MSME100101,Small,Manufacturing,13.1,0,0,1,79.0,-2.0,271200.0,1.0,0,,,,,0,,,,,,0,,,,,0,66.9,,,,66.9,Low Risk
MSME100102,Micro,Manufacturing,6.6,1,0,0,,,,,1,8.0,18300.0,0.41,15.18,1,19000.0,107.9,0.06,0.475,55.7,1,2.0,19.7,17200.0,5.84,0,,41.9,35.3,27.6,36.0,High Risk
MSME100103,Medium,Services,3.1,1,0,1,61.5,-0.88,1839800.0,3.0,1,446.0,1130700.0,0.479,13.67,0,,,,,,1,87.0,70.5,9600.0,1.56,0,53.5,49.1,,48.1,50.8,Moderate Risk
MSME100104,Small,Services,5.3,0,0,0,,,,,1,16.0,31100.0,0.326,7.47,1,27100.0,34.4,1.14,0.211,24.4,0,,,,,0,,50.9,69.5,,61.0,Low Risk
MSME100105,Small,Food Processing,0.3,1,0,1,35.5,2.2,272100.0,4.0,0,,,,,1,83200.0,67.2,0.32,0.31,54.2,0,,,,,0,38.9,,49.0,,44.0,Moderate Risk
MSME100106,Micro,Food Processing,6.9,0,1,1,42.3,-1.88,41800.0,4.0,1,11.0,30400.0,0.325,12.75,0,,,,,,0,,,,,1,41.1,46.2,,,43.4,Moderate Risk
MSME100107,Micro,Trading/Retail,2.7,1,1,1,21.2,-2.07,40100.0,3.0,0,,,,,1,16400.0,81.6,0.03,0.652,56.5,0,,,,,0,33.0,,34.7,,33.8,High Risk
MSME100108,Micro,Manufacturing,5.9,1,0,1,20.8,3.1,25100.0,2.0,1,8.0,11700.0,0.495,13.37,0,,,,,,0,,,,,0,36.8,41.3,,,38.8,High Risk
MSME100109,Small,Trading/Retail,3.1,0,1,1,29.1,1.16,301800.0,6.0,1,56.0,126200.0,0.32,9.18,1,81200.0,78.7,0.66,0.421,55.8,0,,,,,0,30.4,50.2,46.3,,41.8,Moderate Risk
MSME100110,Micro,Services,2.0,1,0,0,,,,,1,15.0,24700.0,0.606,13.53,0,,,,,,0,,,,,0,,38.4,,,38.4,High Risk
MSME100111,Micro,Manufacturing,15.9,0,1,1,80.9,17.02,64500.0,2.0,1,19.0,37000.0,0.091,4.53,1,16000.0,46.5,1.25,0.148,26.6,0,,,,,1,71.1,59.5,69.5,,67.1,Low Risk
MSME100112,Micro,Construction,3.0,0,0,0,,,,,1,8.0,20500.0,0.266,12.83,0,,,,,,0,,,,,1,,47.6,,,47.6,Moderate Risk
MSME100113,Micro,Trading/Retail,2.6,1,0,0,,,,,1,7.0,23000.0,0.413,8.65,0,,,,,,0,,,,,0,,47.5,,,47.5,Moderate Risk
MSME100114,Micro,Food Processing,8.8,0,1,1,48.8,-9.44,37900.0,5.0,1,11.0,24300.0,0.468,14.97,1,11600.0,57.1,0.24,0.368,65.7,0,,,,,0,39.6,40.6,46.3,,42.3,Moderate Risk
MSME100115,Small,Manufacturing,4.1,1,0,0,,,,,1,7.0,23700.0,0.62,16.22,1,6500.0,109.8,0.29,0.73,49.9,0,,,,,0,,35.6,31.0,,33.1,High Risk
MSME100116,Small,Manufacturing,2.9,1,0,1,7.8,-1.36,153200.0,6.0,0,,,,,0,,,,,,0,,,,,0,19.0,,,,19.0,High Risk
MSME100117,Small,Construction,9.0,0,0,1,86.7,10.61,324400.0,2.0,1,95.0,154000.0,0.366,9.26,1,83700.0,74.0,0.86,0.575,25.1,0,,,,,0,72.0,49.7,50.6,,57.9,Moderate Risk
MSME100118,Micro,Trading/Retail,5.2,0,0,1,8.9,2.98,35300.0,2.0,0,,,,,0,,,,,,0,,,,,0,30.8,,,,30.8,High Risk
MSME100119,Small,Manufacturing,9.8,0,1,1,41.4,2.22,282600.0,6.0,0,,,,,1,104900.0,97.9,0.16,0.366,56.6,0,,,,,0,36.9,,40.6,,38.8,High Risk
MSME100120,Micro,Manufacturing,13.4,0,1,1,51.8,-1.82,37600.0,1.0,1,9.0,27900.0,0.365,12.62,0,,,,,,1,4.0,51.9,13900.0,1.41,0,53.4,45.3,,40.4,47.7,Moderate Risk
MSME100121,Small,Construction,4.0,0,1,0,,,,,0,,,,,1,8500.0,96.3,0.51,0.584,56.2,1,17.0,16.4,14300.0,-1.16,0,,,37.7,21.6,32.3,High Risk
MSME100122,Micro,Trading/Retail,8.5,0,1,0,,,,,1,21.0,35400.0,0.414,10.61,0,,,,,,0,,,,,0,,46.0,,,46.0,Moderate Risk
MSME100123,Micro,Agriculture & Allied,13.8,0,1,1,83.6,-2.1,55000.0,2.0,1,16.0,32700.0,0.19,2.18,1,25000.0,24.2,1.31,0.202,17.2,0,,,,,0,66.7,59.0,74.2,,67.1,Low Risk
MSME100124,Micro,IT/ITES,16.3,0,0,1,98.6,8.98,50400.0,0.0,1,19.0,27200.0,0.02,1.89,0,,,,,,1,2.0,91.9,19400.0,-0.54,0,82.5,63.6,,61.6,71.3,Low Risk
MSME100125,Micro,Textile,3.4,1,0,0,,,,,1,5.0,17100.0,0.527,15.21,0,,,,,,0,,,,,0,,38.8,,,38.8,High Risk
MSME100126,Micro,Manufacturing,10.8,0,0,1,32.7,-7.03,37600.0,1.0,1,7.0,27300.0,0.197,10.62,0,,,,,,0,,,,,0,42.2,51.2,,,46.3,Moderate Risk
MSME100127,Micro,Food Processing,0.6,1,0,0,,,,,1,6.0,17800.0,0.388,22.72,0,,,,,,0,,,,,1,,35.8,,,35.8,High Risk
